Project Name,Builder Name,Project Address,Avg Price psft,Completion date,Sizes,Project Area,RERA,Project Size - Tower Count,Project Size - Unit Count,Configurations,Amenities - Count,Amenities - List,Photos Count,Videos Count,Total Count,Review Count,Builder-Established Date,Builder-Project count,Builder description,Possession Status,Launch Date
Sobha Madison Heights Townpark Phase 1 W5 To 7,SOBHA LIMITED,"Hosur Road, Attibele, Sarjapur Road, Bangalore",₹11.11 K - 11.91 K/sq.ft,"Dec, 2030",753 - 1847 sq.ft.,2.84 Acres,PRM/KA/RERA/1251/308/PR/230125/007420,,480,"1, 2, 3 BHK Apartments",30,"Cricket Pitch, Futsal, Volleyball Court, Tennis Court, Reflexology Park, Swimming Pool, Open Gym, Landscaping & Tree Planting, Water Conservation, Rain water Harvesting, Kid's Pool, Fire Fighting System, Electrification(Transformer, Solar Energy etc), 24X7 Water Supply, Street Lighting, Cycling & Jogging Track, Party Lawn, Sewage Treatment Plant, Club House, Children's Play Area, Yoga / Meditation Area, Solid Waste Management And Disposal, Visitor Parking, Fitness Center, Sports Complex, 24x7 CCTV Surveillance, Sun Deck, Basketball Court, Storm Water Drains, Internal Roads & Footpaths, Power Backup",21,1,22,0,1995,254,"Sobha Limited is one of fastest growing real estate companies in India with its operations spread across 13 states and 24 cities as well as in the Middle East. It was established in 1995 and has a market value of Rs 26 billion. The developer is headquartered in Bangalore and is engaged in the development of contractual and residential projects encompassing villas, row houses, plotted development, presidential apartments, luxury and super luxury apartments. Sobha Limited has attained ISO 14001:2004 and OHSAS 18001:2007 certifications for environmental, health and safety management systems. It has bagged various awards like ‘India’s Top 10 Builders Award’ by Construction World, ‘Builder of the Year’ and ‘Most Reliable Builder Award’ by CNBC, ‘Employer of the Year Award’ by Realty Plus and ‘Top Indian Real Estate Company’ by Dun & Bradstreet. Experience and Strengths
Sobha Limited has catered to several prestigious corporate clients namely Dell, Institute of Public Enterprises (IPE), Taj Group, Hotel Leela Ventures, Infosys, Bosch, HP, Biocon and Timken. The builder undertakes corporate focused projects including software development blocks, corporate offices, research centres, multiplex theatres, restaurants, convention centres, clubhouses, hostel facilities, food courts and guesthouses. Major cities where the developer has a presence include Bangalore, Gurgaon, Chennai, Pune, Coimbatore, Thrissur, Calicut, Cochin and Mysore.
With an eye towards delivering world-class residential spaces, the developer is also focused on ensuring high safety standards, quality compliance, environmental management and water harvesting. With a vision to ‘transform the way people perceive Quality’, Sobha Limited adopts robust engineering, in-house research, uncompromising business ethics, timeless values and transparency for providing the best housing projects for homebuyers.
Sobha Limited is led by its Founder and Chairman, PNC Menon; Chairman, Ravi PNC Menon; and Vice Chairman and Managing Director, J.C. Sharma. In 2015, it forayed into the commercial segment (retail space leasing) in India with the launch of 'SOBHA City Mall' in Thrissur, Kerala. The builder possesses a team of nearly 3,000 employees who exhibit a customer-centric approach and keep themselves abreast with the latest developments in the realty market. All the projects by Sobha Limited reflect a perfect mix of aesthetic designs, high-end interiors and quality construction aimed at offering a sophisticated lifestyle for buyers.
Projects
Sobha Limited has undertaken a total of 119 residential projects with over 45 under construction properties covering 27.32 million sqft, saleable space of 18.90 million sqft and 34 ongoing contractual projects adding up to 9.50 million sqft area. The developer has built projects in prime locations of the city such as Whitefield Hope Farm Junction, Jakkur, Bellandur, Varthur and Kannur on Thanisandra Main Road in Bangalore and Sector 108 Gurgaon, to name a few.",Under Construction,"Jan, 2025"
DSR The Courtyard,DSR INFRASTRUCTURE PVT LTD,"Survey No 70, Gunjur, Bangalore East , Bangalore",₹8.97 K/sq.ft,"Jun, 2026",1113 - 1687 sq.ft.,2.72 Acres (70% open),PRM/KA/RERA/1251/446/PR/280324/006759,,252,"2, 3 BHK Apartments",26,"Cricket Pitch, Swimming Pool, Landscaping & Tree Planting, Water Conservation, Rain water Harvesting, Table Tennis, Gymnasium, Fire Fighting System, Community Buildings, 24X7 Water Supply, Multipurpose Room, Jogging Track, Street Lighting, Senior Citizen Siteout, Sewage Treatment Plant, Club House, Children's Play Area, Solid Waste Management And Disposal, Lift(s), 24x7 CCTV Surveillance, Chess Board, Storm Water Drains, 24x7 Security, Energy management, Electrical meter Room, Power Backup, DG Availability",46,1,47,0,1988,38,"DSR Infra Projects was established with the vision of transforming the Real Estate Industry and today after the journey of so many years, its projects stand testimony to the shining excellence and brilliance in execution. Commanding an unparalleled expertise, the Group has spread its operations across South India across many Real Estate verticals, catering to various categories of clients. DSR Infra Projects repertoire has a wide array of exclusive projects which have been crafted to international standards. With diversified business interests across many portfolios, DSR Infra Projects today has achieved staggering success, thanks to its partners, associates and employees. Its success is shared and cherished among its people who work towards the common goal of a promising and prosperous future.",Under Construction,"May, 2024"
DSR Green Waters,DSR INFRASTRUCTURE PVT LTD,"Carmelaram Road, Gunjur, off Sarjapur Road, Varthur, Bangalore East , Bangalore",₹7.73 K/sq.ft,Ready to Move,1004 - 1510 sq.ft.,1.5 Acres (70% open),PRM/KA/RERA/1251/446/PR/061222/005506,,126,"2, 2.5, 3 BHK Apartments",20,"Children's Play Area, Entrance Lobby, Internet / Wi-Fi, Swimming Pool, Lift(s), Landscaping & Tree Planting, Gymnasium, Fire Fighting System, Car Parking, 24X7 Water Supply, Multipurpose Room, Multipurpose Hall, Indoor Games, Rain Water Harvesting, 24x7 Security, Power Backup, Sewage Treatment Plant, Club House, Intercom, DG Availability",50,2,52,0,1988,38,"DSR Infra Projects was established with the vision of transforming the Real Estate Industry and today after the journey of so many years, its projects stand testimony to the shining excellence and brilliance in execution. Commanding an unparalleled expertise, the Group has spread its operations across South India across many Real Estate verticals, catering to various categories of clients. DSR Infra Projects repertoire has a wide array of exclusive projects which have been crafted to international standards. With diversified business interests across many portfolios, DSR Infra Projects today has achieved staggering success, thanks to its partners, associates and employees. Its success is shared and cherished among its people who work towards the common goal of a promising and prosperous future.",Ready to Move,"Oct, 2022"
Prestige Somerville,PRESTIGE PROJECTS PVT LTD,"Off Varthur Road, Whitefield, Bangalore East , Bangalore",₹14.99 K/sq.ft,"Dec, 2027",1203 - 3543 sq.ft.,6.5 Acres,PRM/KA/RERA/1251/446/PR/290224/006660,,306,"2, 3, 3.5, 4 BHK Apartments",20,"Children's Play Area, Yoga / Meditation Area, Sauna Bath, Swimming Pool, Visitor Parking, Lift(s), Table Tennis, Mini Theatre, 24x7 CCTV Surveillance, Kid's Pool, Gymnasium, Video Door Security, 24X7 Water Supply, Multipurpose Hall, Indoor Games, Cycling & Jogging Track, 24x7 Security, Jacuzzi, Power Backup, Club House",40,1,41,0,1986,220,"Over the last decade, the Prestige Group has firmly established itself as one of the leading and most successful developers of real estate in India by imprinting its indelible mark across all asset classes. Founded in 1986, the group’s turnover is today in excess of Rs 3518 Cr (for FY 15); a leap that has been inspired by CMD Irfan Razack and marshaled by his brothers Rezwan Razack and Noaman Razack. As of 30th June 2020, the group has completed 247 projects covering 134 million sft, and currently has 45 ongoing projects covering over 53 million sft, 56 mn sft of upcoming projects, and holds a land bank of 262 acres with potential developable area of 27 mn sft. The Market Capital of the company as on 30 June 2020 is INR 84,021 Mn. The group’s turnover for the quarter ended June 30, 2020 is INR 12,963 Mn.",Under Construction,"Apr, 2024"
Prestige Finsbury Park Regent,Prestige Finsbury Park,"Plot No. R-6-Part-1, In Hitech Defence And Aerospace Park, Sy Nos Parts of 429 And 462, Jala Hobli, Bagaluru Near Yelahanka, North Bangalore, Bangalore",Not Found,"Jun, 2023",851 - 1431 sq.ft.,10 Acres,PRM/KA/RERA/1251/472/PR/191206/003056,,957,3 BHK Apartment,88,"Amphitheater, Cricket Pitch, Changing Room, Spa, Skating Rink, Fountains, Fire Sprinklers, Table Tennis, Mini Theatre, Kid's Pool, Medical Store/Pharmacy, Water Softner Plant, Car Parking, 24X7 Water Supply, Concierge Service, Multipurpose Room, Senior Citizen Siteout, Indoor Games, Pergola, Shopping Mall, Piped Gas Connection, Party Lawn, Sewage Treatment Plant, Intercom, Children's Play Area, Salon, Steam Room, Recreation Facilities, Visitor Parking, 24x7 CCTV Surveillance, Reserved Parking, Chess Board, Community Hall, Spa/Sauna/Steam, Maintenance Staff, Banquet Hall, Library, Rain Water Harvesting, Laundromat, 24x7 Security, Jacuzzi, Cafeteria, Waiting Lounge, Reading Lounge, Internet / Wi-Fi, Grocery Shop, Tennis Court, Reflexology Park, Solar Lighting, Garbage Disposal, Swimming Pool, Vastu Compliant, Landscaping & Tree Planting, Water Storage, Fire Fighting System, Gymnasium, Flower Garden, Squash Court, Golf Course, Jogging Track, Gated Community, Sports Facility, Lawn Tennis Court, Club House, Service Lift, Entrance Lobby, Yoga / Meditation Area, Security Cabin, Barbecue Area, Lift(s), Badminton Court, Terrace Garden, Creche/Day Care, RO Water System, Video Door Security, Restaurant, High Speed Elevators, Multipurpose Hall, Basketball Court, Conference Room, Paved Compound, Solar Water Heating, Internal Roads & Footpaths, ATM, Carrom, Power Backup, Acupressure Center, Billiards / Snooker Table",54,1,55,0,1986,217,"Over the last decade, the Prestige Group has firmly established itself as one of the leading and most successful developers of real estate in India by imprinting its indelible mark across all asset classes. Founded in 1986, the group’s turnover is today in excess of Rs 3518 Cr (for FY 15); a leap that has been inspired by CMD Irfan Razack and marshaled by his brothers Rezwan Razack and Noaman Razack. As of 30th June 2020, the group has completed 247 projects covering 134 million sft, and currently has 45 ongoing projects covering over 53 million sft, 56 mn sft of upcoming projects, and holds a land bank of 262 acres with potential developable area of 27 mn sft. The Market Capital of the company as on 30 June 2020 is INR 84,021 Mn. The group’s turnover for the quarter ended June 30, 2020 is INR 12,963 Mn.",Ready to Move,"Jan, 2020"
Keya Around The Life,KEYA HOMES,"Whitefield -Seegehalli, Near Sai Baba Ashram, Bangalore East , Bangalore",₹10 K/sq.ft,Ready to Move,2371 - 2428 sq.ft.,4.67 Acres,PRM/KA/RERA/1251/446/PR/020822/005125,,468,4 BHK Apartment,30,"Waiting Lounge, Cricket Pitch, Tennis Court, Sauna Bath, Reflexology Park, Swimming Pool, Skating Rink, Fire Sprinklers, Mini Theatre, Gymnasium, Flower Garden, Kid's Pool, Golf Course, Jogging Track, Senior Citizen Siteout, Cycling & Jogging Track, Foosball, Children's Play Area, Entrance Lobby, Yoga / Meditation Area, Security Cabin, Steam Room, Card Room, Badminton Court, Aerobics Room, Chess Board, Multipurpose Hall, Basketball Court, Carrom, Jacuzzi",71,1,72,0,2013,5,KEYA is a professionally managed Company since inception. It has been debt/PE/loan free Company since day ZERO. KEYA focuses on deliverling homes which have been built keeping environment and sustainibility in mind with a blend of technology and lifestyle. All our projects get completed in a span of 2.0-2.50 years tenure. We endeavor to skale the game and deliver you more than you can expect for.,Ready to Move,"Jun, 2022"
Keya The Green Terraces,KEYA HOMES,"Next To Smondo Apartments, Neo Town, Electronic City Phase 1, South Bangalore, Bangalore",₹10 K/sq.ft,Ready to Move,660 - 1500 sq.ft.,2 Acres,PRM/KA/RERA/1251/308/PR/171103/001517,,395,"1, 2, 3 BHK Apartments",83,"Amphitheater, Changing Room, Gazebo, Spa, Vastu Compliant, Fountains, Table Tennis, Mini Theatre, Water Softner Plant, Medical Facilities, Car Parking, 24X7 Water Supply, Multipurpose Room, Senior Citizen Siteout, Indoor Games, Pergola, Shopping Mall, Piped Gas Connection, Bowling Alley, Hospital, Food Court, Party Lawn, Sewage Treatment Plant, Intercom, Children's Play Area, Salon, Steam Room, Card Room, Visitor Parking, Chess Board, Community Hall, Spa/Sauna/Steam, Maintenance Staff, Banquet Hall, Rain Water Harvesting, Library, Laundromat, 24x7 Security, Jacuzzi, Cafeteria, Waiting Lounge, Internet / Wi-Fi, Tennis Court, Grocery Shop, Reflexology Park, Solar Lighting, Garbage Disposal, Swimming Pool, Landscaping & Tree Planting, Water Storage, Fire Fighting System, Gymnasium, Flower Garden, Squash Court, Jogging Track, Gated Community, Lawn Tennis Court, Foosball, Club House, Anti-termite Treatment, Doctor on call, Entrance Lobby, Yoga / Meditation Area, Security Cabin, Barbecue Area, Bar/Chill-out Lounge, Badminton Court, Aerobics Room, Terrace Garden, Creche/Day Care, RO Water System, Sun Deck, Video Door Security, Multipurpose Hall, Basketball Court, Paved Compound, ATM, Internal Roads & Footpaths, Infinity Pool, Carrom, Power Backup, Acupressure Center, DG Availability",58,Not Found,58,0,2013,5,KEYA is a professionally managed Company since inception. It has been debt/PE/loan free Company since day ZERO. KEYA focuses on deliverling homes which have been built keeping environment and sustainibility in mind with a blend of technology and lifestyle. All our projects get completed in a span of 2.0-2.50 years tenure. We endeavor to skale the game and deliver you more than you can expect for.,Ready to Move,"Aug, 2015"
Casagrand Casablanca,CASAGRAND BUILDER PRIVATE LIMITED,"Off Kanakapura Road, Bangalore",₹7.11 K - 8.6 K/sq.ft,"Jun, 2027",1266 - 3987 sq.ft.,27 Acres (70% open),PRM/KA/RERA/1251/310/PR/040524/006862,,806,"2, 3, 4, 5 BHK Apartment,Penthouses",20,"Children's Play Area, Entrance Lobby, Swimming Pool, Solid Waste Management And Disposal, Fire Sprinklers, Visitor Parking, Landscaping & Tree Planting, 24x7 CCTV Surveillance, Sensor operated doors and lifts, Fire Fighting System, Closed Car Parking, 24X7 Water Supply, Street Lighting, Storm Water Drains, Internal Roads & Footpaths, 24x7 Security, Power Backup, Sewage Treatment Plant, Club House, Intercom",59,2,61,0,2004,164,"Casagrand Builder Private Limited is a real estate enterprise committed to building aspirations and delivering value. In the last fifteen years, we have developed over 22 million sqft of prime residential real estate across Chennai, Bengaluru, and Coimbatore. Over 18,250 happy families across 112+ landmark properties stand testimony to our commitment. In the sixteenth year of our journey, we at Casagrand are all set to progress further forward with projects worth over Rs. 8000 crores in the pipeline.",Under Construction,
Platinum East Woods,PLATINUM NARYA INFRA,"Sy 191, Bidarahalli Hobli, Kannamangala, Bangalore East , Bangalore",₹9.3 K/sq.ft,"Mar, 2027",1051 - 2578 sq.ft.,2 Acres,PRM/KA/RERA/1251/446/PR/100423/005855,,178,"2, 3, 4 BHK Apartments",47,"Cricket Pitch, Changing Room, Reflexology Park, Swimming Pool, Skating Rink, Fountains, Landscaping & Tree Planting, Water Conservation, Rain water Harvesting, Table Tennis, Mini Theatre, Fire Escape Staircases, Gymnasium, Fire Fighting System, Flower Garden, Electrification(Transformer, Solar Energy etc), 24X7 Water Supply, Car Parking, Jogging Track, Street Lighting, Senior Citizen Siteout, Gated Community, Indoor Games, Pergola, Party Lawn, Sewage Treatment Plant, Club House, Children's Play Area, Entrance Lobby, Security Cabin, Yoga / Meditation Area, Barbecue Area, Solid Waste Management And Disposal, Visitor Parking, Lift(s), Terrace Garden, 24x7 CCTV Surveillance, Community Hall, Basketball Court, Storm Water Drains, Banquet Hall, Open Parking, Internal Roads & Footpaths, Rain Water Harvesting, 24x7 Security, Power Backup, Billiards / Snooker Table, DG Availability",53,Not Found,53,0,Not Found,Not Found,Not Found,Under Construction,"Apr, 2023"
SNN Estates Felicity,SNN ESTATES,"Behind Manyata Tech Park Rachenahalli, Jakkur, North Bangalore, Bangalore",12.83 K - ₹19.96 K/sq.ft,"Dec, 2028",450 - 2300 sq.ft.,6.49 Acres (80% open),PRM/KA/RERA/1251/309/PR/220124/006568,,580,"1, 2, 3, 4 BHK Apartments",37,"Cricket Pitch, Spa, Swimming Pool, Skating Rink, Landscaping & Tree Planting, Table Tennis, Fire Fighting System, Gymnasium, Water Softner Plant, Closed Car Parking, Car Parking, 24X7 Water Supply, Squash Court, Senior Citizen Siteout, Gated Community, Indoor Games, Party Lawn, Sewage Treatment Plant, Intercom, Club House, Children's Play Area, Yoga / Meditation Area, Salon, Solid Waste Management And Disposal, Football Field, Lift(s), Badminton Court, Aerobics Room, 24x7 CCTV Surveillance, Sun Deck, Chess Board, Basketball Court, Rain Water Harvesting, 24x7 Security, Carrom, Power Backup, Billiards / Snooker Table",72,2,74,0,3,Not Found,"SNN Estates Established in 2005 and listed among the top real estate property developers and builders in Bengaluru, South India, SNN Estates have completed over 11 projects covering more than 21 million sq. ft. SNN Estates' property development portfolio is diverse in scope and style, attracting considerable interest from not just end consumers but also from investors as well. The company’s key competitive advantages lie in its sound financial backing, the availability of large resources, and a high level of management expertise. The company’s corporate philosophy focuses on balancing the evolving needs of a modern city while maintaining and conserving the environment. Most of SNN’s ongoing & upcoming projects are located in East, South & North Bengaluru, Offering a choice of 1/2/3/4 BHK affordable and luxurious residential apartments, penthouses and villas.
6300+ Happy Families
21 Million sqft Constructed
11+ Projects Delivered",Under Construction,"Jun, 2022"
Sumadhura Folium Phase lll,SUMADHURA INFRACON PVT LTD,"Whitefield, Bangalore East , Bangalore",₹21.03 K/sq.ft,"Dec, 2026",187 - 1645 sq.ft.,2.7624 Acres,PRM/KA/RERA/1251/446/PR/141223/006468,,200,"1, 3, 4 BHK Apartments",13,"Reflexology Park, Swimming Pool, Open Gym, Lift(s), Water Storage, 24x7 CCTV Surveillance, Community Hall, Indoor Games, Piped Gas Connection, 24x7 Security, Power Backup, Club House, Open Air Theatre",10,Not Found,10,0,1998,53,"Sumadhura Infracon Pvt Ltd is a name that resonates among the prominent residential and commercial developers in Bangalore, India. Their ability to deliver on-time luxurious and affordable housing projects in Bangalore has ensured a continual interest from their customers. Their expertise in acquisition of land, appointment of architects and designers, construction, sales to after sales service, has helped them to be counted among Bangalore's forerunners in Real Estate development. The company's vision to continuously expand the role of a leading developer in the construction industry by building lasting relationships with our clientele and all concerned on the foundations of performance, trust and confidence. And its mission is to develop quality properties based on realistic values for its owners, investment affiliates, as well as its joint venture partners. It is an enterprise that maintains the highest level of personnel support and skilled professionals for an enjoyable environment.",Under Construction,"Oct, 2023"
Sri Garudadri Gardens,SRI GARUDADRI CONSTRUCTIONS,"Rajarajeshwarinagar, Bangalore",9.24 K - ₹9.89 K/sq.ft,"Jun, 2025",1000 - 1500 sq.ft.,0.72 Acres,PRM/KA/RERA/1251/310/PR/291223/006517,,56,"2, 3 BHK Apartments",19,"Children's Play Area, Solid Waste Management And Disposal, Lift(s), Landscaping & Tree Planting, Water Conservation, Rain water Harvesting, 24x7 CCTV Surveillance, Gymnasium, Electrification(Transformer, Solar Energy etc), Car Parking, 24X7 Water Supply, Jogging Track, Multipurpose Hall, Street Lighting, Gated Community, Internal Roads & Footpaths, Rain Water Harvesting, 24x7 Security, Power Backup, Sewage Treatment Plant",29,Not Found,29,0,Not Found,Not Found,Not Found,Under Construction,"Sep, 2023"
Satvat Yuva Dwee,SATVAT INFRA VENTURES PVT LTD,"Vajarahalli, BCMC Layout, South Bangalore, Bangalore",₹7.5 K/sq.ft,"Mar, 2025",1930 - 2070 sq.ft.,,Rera Not Applicable,,,3 BHK Apartment,10,"Closed Car Parking, 24X7 Water Supply, Solid Waste Management And Disposal, Lift(s), Landscaping & Tree Planting, Water Conservation, Rain water Harvesting, 24x7 Security, 24x7 CCTV Surveillance, Electrical meter Room, Power Backup",32,Not Found,32,0,Not Found,Not Found,Not Found,Ready to Move,"Jun, 2024"
Urbanest Eastfield,URBANEST REALTY BANGALORE,"Hoskote, Bangalore",₹7.96 K/sq.ft,"Dec, 2027",1744 - 1886 sq.ft.,2.71 Acres,PRM/KA/RERA/1250/304/PR/131224/007290,,200,3 BHK Apartment,41,"Amphitheater, Cricket Pitch, Tennis Court, Spa, Skating Rink, Swimming Pool, Fountains, Open Gym, Landscaping & Tree Planting, Water Conservation, Rain water Harvesting, Gymnasium, Kid's Pool, Flower Garden, Fire Fighting System, Electrification(Transformer, Solar Energy etc), 24X7 Water Supply, Street Lighting, Senior Citizen Siteout, Reception/Waiting Room, Cycling & Jogging Track, Piped Gas Connection, Business Center, Party Lawn, Sewage Treatment Plant, Club House, Children's Play Area, Entrance Lobby, Salon, Yoga / Meditation Area, Solid Waste Management And Disposal, Visitor Parking, Lift(s), Solar Power System, 24x7 CCTV Surveillance, Restaurant, Multipurpose Hall, Basketball Court, Community Hall, Storm Water Drains, Internal Roads & Footpaths, Power Backup",20,1,21,0,3,Not Found,"At Urbanest Realty, we are committed to deliver the highest quality of construction and upholding our promises. Our primary goal is to ensure complete customer satisfaction and foster lasting relationships. Through our innovative approach, we have redefined the real estate industry in Bangalore, enabling people to enjoy comfortable living. Each project embodies perfection, precision and quality, striking the perfect balance between aesthetics and functionality.",Under Construction,"Jan, 2025"
Ashford Regal Cross Town,ASHFORD GROUP BUILDERS,"Bhandup West, Central Mumbai Suburbs, Mumbai",₹24.75 K/sq.ft,"Dec, 2027",400 - 1096 sq.ft.,5.5 Acres,"P51800047421, P51800048460",,280,"1, 2, 3 BHK Apartments",19,"Children's Play Area, Amphitheater, Steam Room, Card Room, Sauna Bath, Reflexology Park, Swimming Pool, Fire Sprinklers, Table Tennis, Kid's Pool, Gymnasium, Flower Garden, 24X7 Water Supply, Jogging Track, Indoor Games, Banquet Hall, Party Lawn, Carrom, Power Backup",22,Not Found,22,0,11,Not Found,"Ashford Group Builders is committed to create business premises, residence, building and infrastructures that are known for their quality and distinct in design. They are focused in the determination to provide customers elegant, lavish and affordable homes that will redefine their way of living. They are committed to deliver the gracefully crafted homes with expected quality as promised. The builder has a skilled and well planned team that crafts concrete marvels that actually make the home seeker meet his mind place. Customer satisfaction and their trust is the main feature of the group.",Under Construction,"Oct, 2022"
ASSETZ 66 & SHIBUI,ASSETZ PROPERTY GROUP,"Whitefield Main Road, Sathya Sai Layout, Whitefield, Bangalore East , Bangalore",14.06 K - ₹15.09 K/sq.ft,"Jun, 2028",2154 - 3044 sq.ft.,2 Acres (75% open),PRM/KA/RERA/1251/446/PR/300124/006601,,96,"3, 4 BHK Apartments",16,"Children's Play Area, Waiting Lounge, Entrance Lobby, Yoga / Meditation Area, Tennis Court, Card Room, Swimming Pool, Table Tennis, Gymnasium, Kid's Pool, Multipurpose Hall, Indoor Games, 24x7 Security, Party Lawn, Foosball, Billiards / Snooker Table",27,2,29,0,2006,49,"Assetz is a pioneer in the real estate sector. Founded in 2006, the company has seen a surge in growth over the past 15 years, making it an ‘A Grade’ player in the market. The journey started in the commercial segment, with award winning projects such as Vrindavan Tech Village (now Embassy Tech Village) and Global Technology Park, both of which have been successfully delivered and exited.",Under Construction,"Jan, 2024"
Ajmera Manhattan,AJMERA GROUP,"Wadala, Mumbai Harbour, Mumbai",Not Found,"Dec, 2026",750 - 1197 sq.ft.,27.6 Acres,P51800032948,,540,"2, 3 BHK Apartments",14,"Recreation Facilities, Solid Waste Management And Disposal, Landscaping & Tree Planting, Water Conservation, Rain water Harvesting, Footpaths/Pedestrian, Fire Fighting System, Community Buildings, 24X7 Water Supply, Street Lighting, Storm Water Drains, Open Parking, Internal Roads & Footpaths, Energy management, Electrical meter Room",29,3,32,0,1967,69,"Developer Profile
Ajmera Group is a real estate developer who entered the Indian real estate market in the early 1960s. Over the past 50 years, the company has grown in a big way and has made a mark not only in the field of steel, cement, power, education and social welfare but also in real estate developments across west India in Mumbai, Pune, Rajkot, Ahmedabad, Surat as well as Bangalore. It also has an overseas presence in Bahrain. Ajmera Group has made remarkable contributions to address the future housing needs of India through a plethora of contemporary apartments and modern integrated townships situated in some of the coveted locations of the country.
Founded by Sarvashree. Chhotalal S. Ajmera, the builder has emerged as a trusted brand for over 42,000 families through the delivery of international grade properties. The company works closely with world-renowned architects, designers, town planners and landscape consulting firms for the creation of world-class residential projects.
Experience and Strengths
Ajmera Group is currently under the leadership of its Chairman and Managing Director, Rajnikant Shamalji Ajmera, who drives the management team in building iconic projects with an undeterred focus on timeline adherence, quality construction and adoption of modern technology. The range of residential properties by Ajmera Group includes high-rise towers, luxurious villas, commercial complexes and corporate parks. The gated communities launched by the developer include vast open spaces, well-planned residences as well as latest facilities rightly picked to fulfil the wishes of a dream lifestyle for thousands of families.
Ajmera Group proactively promotes the concept of an Innovated Township Culture across six cities and two countries. It is steadfast towards achieving its mission to preserve affordability with a world-class outcome which is set firmly on its motto ‘Less for More’. The finesse and immaculately planning involved in creating the projects are reflected in the form of customer delight, enriching the attributes, values and vision that make Ajmera Group a leading realty company. The developer encourages sustainable development which is why it uses innovative techniques to provide a quality life while ensuring minimum environmental impact.
Projects
Ajmera Group has constructed real estate space with a total area of 25 million sqft in India. So far, it has completed 49 residential projects and is presently working on five ongoing projects. Some of the prestigious housing projects by the builder include Ajmera Yogi Dham at Kalyan West in Mumbai, Ajmera Casa Vyoma at Vastrapur in Ahmedabad, Ajmera Annex at Electronic City Phase 1 in Bangalore and Ajmera Exotica at Wagholi in Pune.",Under Construction,"Feb, 2022"
