Sr.No.,Project Name,Promoter Name,Promoter Address,Project Type,Email Id,Mobile No,Project Registration No.,District,Approved on
1,aagam heights,AKSHAR CORPORATION,PLOT NO 4 & 6 UDHNA INDUSTRIAL ESTATE ROAD 1 UDHNA SURAT Surat 395007,Residential/Group Housing,agamheightslotus@gmail.com,9825149990,PR/GJ/SURAT/SURAT CITY/SUDA/RAA01667/170218,Surat,17-02-2018
2,aagam heights,AAGAM INFRASTRUCTURE,POOJA ABHISHEK COMPLEX SKIP FLOOR Surat 395007,Residential/Group Housing,aagamsiddhi@gmail.com,9825122766,PR/GJ/SURAT/SURAT CITY/SUDA/RAA01666/170218,Surat,17-02-2018
3,Sudama Homes 2,Laxmi Corporation,"Near Kotarpur Water Works, Behind Nandigram Society, Nana Choiloda, Ahmedabad - 382330 Ahmedabad 382330",Residential/Group Housing,maulik9072@gmail.com,9426170173,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00444/EX1/150219,Ahmedabad,14-10-2017
4,SHILALEKH RESIDENCY,SHREE VRAJ ENTERPRISE,"BH. KRISHNA PARK SURAT NAVSARI ROAD, SACHIN Surat 394230",Residential/Group Housing,vrajenterprise012@gmail.com,8460186000,PR/GJ/SURAT/CHORASI/SUDA/RAA02093/EX1/120522,Surat,21-03-2018
5,RANG RAAG RESIDENCY,Chanchal Developers,Ashram road jahangirpura. Surat 395005,Residential/Group Housing,rangraagresidency@gmail.com,9824198541,PR/GJ/SURAT/CHORASI/SUDA/RAA03592/051018,Surat,05-10-2018
6,SHRI SAI RESIDENCY,Shri Sai Developers,BLOCK NO. 25 NR. PASHUPATI MAHADEV MANDIR SANIA HEMAD Surat 395006,Residential/Group Housing,saidevelopers456@gmail.com,9998624893,PR/GJ/SURAT/CHORASI/SUDA/RAA02453/EX1/190319,Surat,23-04-2018
7,"MADHAV VILLA Block B, C, D, F",KALP CORPORATION,"S.NO.-550,3/4/5/6,B.NO.974/1, MADHAV VILLA, NEW CROSS ROAD,KOSAD, AMROLI,SURAT Surat 394107",Residential/Group Housing,kalpcorp2015@gmail.com,9825143140,PR/GJ/SURAT/SURAT CITY/SUDA/RAA01932/080318,Surat,08-03-2018
8,Antica Greenwoods,NEPTUNE REALTY PRIVATE LIMITED,"Neptune Campus, Near Atlantis Heights Sarabhai Marg, Vadiwadi Vadodara 390007",Residential/Group Housing,greenwoodsabode@neptunerealty.in,9909344400,PR/GJ/VADODARA/VADODARA/Others/RAA01268/100118,Vadodara,10-01-2018
9,SHRANAM GREENS APPARTMENT,SHUBH CORPORATION,"25, Anjana Park Soci., Hirawadi Ahmedabad 382350",Residential/Group Housing,shubhcorporation1718@gmail.com,9687710101,PR/GJ/GANDHINAGAR/KALOL/Others/RAA01346/190118,Gandhinagar,19-01-2018
10,SHILALEKH RAW HOUSE,SHREE SAI CORPORATION,"BLOCK NO. 403 TO 407, 411-A SHILALEKH RAW HOUSE SACHIN Surat 394230",Residential/Group Housing,saicorporation012@gmail.com,9925323333,PR/GJ/SURAT/CHORASI/SUDA/RAA02102/EX1/100622,Surat,21-03-2018
