Sr.No.,Project Name,Promoter Name,Promoter Address,Project Type,Email Id,Mobile No,Project Registration No.,District,Approved on
NaN,Aashray Arise,Aashray Constructions,"Plot 678, Near Kaveri Sangam Shilaj Cross Road, Off. S.P. Ring Road, Shilaj Ahmedabad 380059",Mixed Development,harsh@aashrayconstructions.in,9825116528,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/MAA00043/010917,Ahmedabad,01-09-2017
NaN,Saujanya Apartments,SAUMYA CONSTRUCTION PRIVATE LIMITED,"Nr. Anupam Cinema, Next to Ashima Mills, Shri Khandubhai Desai Marg, Khokhra, Ahmedabad Ahmedabad 380021",Mixed Development,siiicompliance.officer@sushrut.co.in,9909988288,PR/GJ/AHMEDABAD/AHMADABAD CITY/Others/MAA00001/A1M/031218,Ahmedabad,12-07-2017
NaN,SARVA SQUARE,SARVA SWAMI DEVELOPERS,"B-102, ARIES PRIDE, 2/3 SARASWATI SOCEITY B/H TAKSH COMPLEX, VASNA ROAD Vadodara 390007",Mixed Development,sarvaswami.developers@gmail.com,9426004671,PR/GJ/VADODARA/VADODARA/Others/MAA00055/010917,Vadodara,01-09-2017
NaN,Shivesh 621,Dharmaja Associates,"Shivesh 621, Lambha Lake, Opp Gayatri Complex, Nr Lambha Temple, Lambha Ahmedabad 382440",Mixed Development,utpal@shivesh.co.in,7600004800,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/MAA00235/220917,Ahmedabad,22-09-2017
NaN,Royal Luxuria,Royal Estates,S-3 Amizara apt Athwalines Surat 395001,Mixed Development,tarunshah@arihantrealty.com,9825074777,PR/GJ/TAPI/VYARA/Others/MAA00157/150917,Tapi,15-09-2017
NaN,KB ROYALPHOENIX,KGB INFRA PROJECTS PRIVATE LIMITED,"401, HARVY COMPLEX, NR A-ONE SCHOOL SUBHASH CHOWK MEMNAGAR Ahmedabad 380052",Mixed Development,pmodikgb@yahoo.com,9426720899,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/MAA00142/EX1/290918,Ahmedabad,13-09-2017
NaN,KISHOR PARK,KT HRISHIKESH REALTY,"501, HRISHIKESH, OPP. MUNICIPAL WATER TANK, GULBAI TEKRA Ahmedabad 380006",Mixed Development,hrishikeshgroup89@gmail.com,9825119967,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/MAA00097/EX1/080419,Ahmedabad,07-09-2017
NaN,KAVERI SANGAM,A SHRIDHAR INFRACON LLP,"A. Shridhar Corporate House, Shilaj Circle, Nr. Kaveri Sangam, S.P. Ring Road, Shilaj Ahmedabad 380058",Mixed Development,rera.anantaraabode@gmail.com,9825125156,PR/GJ/AHMEDABAD/DASKROI/AUDA/MAA00044/010917,Ahmedabad,01-09-2017
NaN,INFINIUM,INFINIUM REALTY,"B-68 SARSWATI NAGAR SOC, NR. KAILASHPATI MANDIR, NEW SAMA ROAD Vadodara 390002",Mixed Development,infiniumvadodara@gmail.com,7778883799,PR/GJ/VADODARA/VADODARA/Others/MAA00166/EX1/290918,Vadodara,16-09-2017
NaN,Dev Aashish Divine,Abjibapa Buildcon Pvt Ltd,"1, Manilal Park society Kathwada Road, Naroda Ahmedabad 382330",Mixed Development,jigarpatel6585@gmail.com,7600015917,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00931/061217,Ahmedabad,06-12-2017
