XID,Configuration,List Item,Price,Area
R409908,"Plot
12.68 L - 1.1 Cr",597 SQ.FT,₹ 12.68 L,Saleable Area: 597 sq.ft
R409908,"Plot
12.68 L - 1.1 Cr",621 SQ.FT,₹ 13.19 L,Saleable Area: 621 sq.ft
R409908,"Plot
12.68 L - 1.1 Cr",712 SQ.FT,₹ 15.12 L,Saleable Area: 712 sq.ft
R409908,"Plot
12.68 L - 1.1 Cr",1388 SQ.FT,₹ 29.48 L,Saleable Area: 1388 sq.ft
R409908,"Plot
12.68 L - 1.1 Cr",1445 SQ.FT,₹ 30.69 L,Saleable Area: 1445 sq.ft
R409908,"Plot
12.68 L - 1.1 Cr",1549 SQ.FT,₹ 32.9 L,Saleable Area: 1549 sq.ft
R409908,"Plot
12.68 L - 1.1 Cr",1738 SQ.FT,₹ 36.92 L,Saleable Area: 1738 sq.ft
R409908,"Plot
12.68 L - 1.1 Cr",1829 SQ.FT,₹ 38.85 L,Saleable Area: 1829 sq.ft
R409908,"Plot
12.68 L - 1.1 Cr",2104 SQ.FT,₹ 44.69 L,Saleable Area: 2104 sq.ft
R409908,"Plot
12.68 L - 1.1 Cr",3125 SQ.FT,₹ 66.38 L,Saleable Area: 3125 sq.ft
R409908,"Plot
12.68 L - 1.1 Cr",3387 SQ.FT,₹ 71.94 L,Saleable Area: 3387 sq.ft
R409908,"Plot
12.68 L - 1.1 Cr",4424 SQ.FT,₹ 93.97 L,Saleable Area: 4424 sq.ft
R409908,"Plot
12.68 L - 1.1 Cr",5418 SQ.FT,₹ 1.1 Cr,Saleable Area: 5418 sq.ft
R409908,"2 BHK Villa
48.99 L",1100 SQ.FT,₹ 48.99 L,Saleable Area: 1100 sq.ft
R409908,"3 BHK Villa
72.99 L",1750 SQ.FT,₹ 72.99 L,Saleable Area: 1750 sq.ft
R398124,"3 BHK Apartment
1.02 Cr",210 SQ.YD,₹ 1.02 Cr,Super Builtup Area: 210 sq.yd
R429474,"Plot
85.5 L - 2.14 Cr",1026 SQ.FT,₹ 85.5 L,Plot Area: 1026 sq.ft
R429474,"Plot
85.5 L - 2.14 Cr",1031 SQ.FT,₹ 85.91 L,Plot Area: 1031 sq.ft
R429474,"Plot
85.5 L - 2.14 Cr",1056 SQ.FT,₹ 88.0 L,Plot Area: 1056 sq.ft
R429474,"Plot
85.5 L - 2.14 Cr",1113 SQ.FT,₹ 92.75 L,Plot Area: 1113 sq.ft
R429474,"Plot
85.5 L - 2.14 Cr",1141 SQ.FT,₹ 95.08 L,Plot Area: 1141 sq.ft
R429474,"Plot
85.5 L - 2.14 Cr",1150 SQ.FT,₹ 95.83 L,Plot Area: 1150 sq.ft
R429474,"Plot
85.5 L - 2.14 Cr",1178 SQ.FT,₹ 98.16 L,Plot Area: 1178 sq.ft
R429474,"Plot
85.5 L - 2.14 Cr",1199 SQ.FT,₹ 99.91 L,Plot Area: 1199 sq.ft
R429474,"Plot
85.5 L - 2.14 Cr",1209 SQ.FT,₹ 1.01 Cr,Plot Area: 1209 sq.ft
R429474,"Plot
85.5 L - 2.14 Cr",1235 SQ.FT,₹ 1.03 Cr,Plot Area: 1235 sq.ft
R429474,"Plot
85.5 L - 2.14 Cr",1241 SQ.FT,₹ 1.03 Cr,Plot Area: 1241 sq.ft
R429474,"Plot
85.5 L - 2.14 Cr",1286 SQ.FT,₹ 1.07 Cr,Plot Area: 1286 sq.ft
R429474,"Plot
85.5 L - 2.14 Cr",1330 SQ.FT,₹ 1.11 Cr,Plot Area: 1330 sq.ft
R429474,"Plot
85.5 L - 2.14 Cr",1373 SQ.FT,₹ 1.14 Cr,Plot Area: 1373 sq.ft
R429474,"Plot
85.5 L - 2.14 Cr",1412 SQ.FT,₹ 1.18 Cr,Plot Area: 1412 sq.ft
R429474,"Plot
85.5 L - 2.14 Cr",1731 SQ.FT,₹ 1.44 Cr,Plot Area: 1731 sq.ft
R429474,"Plot
85.5 L - 2.14 Cr",1764 SQ.FT,₹ 1.47 Cr,Plot Area: 1764 sq.ft
R429474,"Plot
85.5 L - 2.14 Cr",2070 SQ.FT,₹ 1.72 Cr,Plot Area: 2070 sq.ft
R429474,"Plot
85.5 L - 2.14 Cr",2567 SQ.FT,₹ 2.14 Cr,Plot Area: 2567 sq.ft
R393335,2 BHK Apartment,822 SQ.FT,Price on Request,Super Builtup Area: 822 sq.ft
R393335,2 BHK Apartment,865 SQ.FT,Price on Request,Super Builtup Area: 865 sq.ft
R393335,2 BHK Apartment,893 SQ.FT,Price on Request,Super Builtup Area: 893 sq.ft
R393335,2 BHK Apartment,1038 SQ.FT,Price on Request,Super Builtup Area: 1038 sq.ft
R393335,2 BHK Apartment,1073 SQ.FT,Price on Request,Super Builtup Area: 1073 sq.ft
R393335,2 BHK Apartment,1097 SQ.FT,Price on Request,Super Builtup Area: 1097 sq.ft
R393335,2 BHK Apartment,1114 SQ.FT,Price on Request,Super Builtup Area: 1114 sq.ft
R393335,3 BHK Apartment,1239 SQ.FT,Price on Request,Super Builtup Area: 1239 sq.ft
R393335,3 BHK Apartment,1373 SQ.FT,Price on Request,Super Builtup Area: 1373 sq.ft
R393335,3 BHK Apartment,1461 SQ.FT,Price on Request,Super Builtup Area: 1461 sq.ft
R2,"3 BHK Apartment
3.51 Cr",2150 SQ.FT,₹ 3.51 Cr,Saleable Area: 2150 sq.ft
R2,"4 BHK Apartment
6.83 Cr",4182 SQ.FT,₹ 6.83 Cr,Saleable Area: 4182 sq.ft
R2,"5 BHK Apartment
7.29 Cr",4464 SQ.FT,₹ 7.29 Cr,Saleable Area: 4464 sq.ft
R294633,"2 BHK Apartment
77.17 L - 82.97 L",706 SQ.FT,₹ 77.17 L,Carpet Area: 706 sq.ft
R294633,"2 BHK Apartment
77.17 L - 82.97 L",759 SQ.FT,₹ 82.97 L,Carpet Area: 759 sq.ft
R294633,3 BHK Apartment,978 SQ.FT,₹ 1.07 Cr,Carpet Area: 978 sq.ft
R294633,3 BHK Apartment,1194 SQ.FT,Price on Request,Carpet Area: 1194 sq.ft
R294633,3 BHK Apartment,1230 SQ.FT,₹ 1.34 Cr,Carpet Area: 1230 sq.ft
R383703,3 BHK Apartment,1708 SQ.FT,Price on Request,Saleable Area: 1708 sq.ft
R383703,3 BHK Apartment,2868 SQ.FT,Price on Request,Saleable Area: 2868 sq.ft
R383703,3 BHK Apartment,3747 SQ.FT,Price on Request,Saleable Area: 3747 sq.ft
R383703,3 BHK Apartment,3986 SQ.FT,Price on Request,Saleable Area: 3986 sq.ft
R383703,4 BHK Apartment,4144 SQ.FT,Price on Request,Saleable Area: 4144 sq.ft
R383703,4 BHK Apartment,4349 SQ.FT,Price on Request,Saleable Area: 4349 sq.ft
R383703,4 BHK Apartment,4550 SQ.FT,Price on Request,Saleable Area: 4550 sq.ft
R383703,4 BHK Apartment,4751 SQ.FT,Price on Request,Saleable Area: 4751 sq.ft
R394292,1 BHK Apartment,550 SQ.FT,Price on Request,Carpet Area: 550 sq.ft
R394292,1 BHK Apartment,560 SQ.FT,Price on Request,Carpet Area: 560 sq.ft
R394292,1 BHK Apartment,580 SQ.FT,Price on Request,Carpet Area: 580 sq.ft
R394292,2 BHK Apartment,532 SQ.FT,₹ 1.28 Cr,Carpet Area: 532 sq.ft
R394292,2 BHK Apartment,720 SQ.FT,Price on Request,Carpet Area: 720 sq.ft
R394292,2 BHK Apartment,735 SQ.FT,Price on Request,Carpet Area: 735 sq.ft
R394292,2 BHK Apartment,740 SQ.FT,Price on Request,Carpet Area: 740 sq.ft
R394292,2 BHK Apartment,755 SQ.FT,Price on Request,Carpet Area: 755 sq.ft
R394292,3 BHK Apartment,698 SQ.FT,₹ 1.79 Cr,Carpet Area: 698 sq.ft
R394292,3 BHK Apartment,728 SQ.FT,₹ 1.87 Cr,Carpet Area: 728 sq.ft
R394292,3 BHK Apartment,769 SQ.FT,₹ 1.98 Cr,Carpet Area: 769 sq.ft
R394292,3 BHK Apartment,804 SQ.FT,₹ 2.07 Cr,Carpet Area: 804 sq.ft
R394292,3 BHK Apartment,807 SQ.FT,₹ 2.07 Cr,Carpet Area: 807 sq.ft
R394292,3 BHK Apartment,840 SQ.FT,₹ 2.16 Cr,Carpet Area: 840 sq.ft
R394292,3 BHK Apartment,882 SQ.FT,₹ 2.27 Cr,Carpet Area: 882 sq.ft
R394292,3 BHK Apartment,995 SQ.FT,Price on Request,Carpet Area: 995 sq.ft
R394292,3 BHK Apartment,1038 SQ.FT,Price on Request,Carpet Area: 1038 sq.ft
R394292,3 BHK Apartment,1075 SQ.FT,Price on Request,Carpet Area: 1075 sq.ft
R394292,3 BHK Apartment,1240 SQ.FT,Price on Request,Carpet Area: 1240 sq.ft
R369336,"3 BHK Apartment
1.5 Cr - 1.55 Cr",2130 SQ.FT,Price not found,Carpet Area: 1240 sq.ft
R369336,"3 BHK Apartment
1.5 Cr - 1.55 Cr",2140 SQ.FT,Price not found,Carpet Area: 1240 sq.ft
R369336,"3 BHK Apartment
1.5 Cr - 1.55 Cr",2195 SQ.FT,Price not found,Carpet Area: 1240 sq.ft
R369336,"3 BHK Apartment
1.5 Cr - 1.55 Cr",2200 SQ.FT,Price not found,Carpet Area: 1240 sq.ft
R392193,"1 BHK Apartment
29.7 L",447 SQ.FT,₹ 29.7 L,Carpet Area: 447 sq.ft
R392193,"2 BHK Apartment
38.8 L - 43.12 L",584 SQ.FT,₹ 38.8 L,Carpet Area: 584 sq.ft
R392193,"2 BHK Apartment
38.8 L - 43.12 L",599 SQ.FT,₹ 39.8 L,Carpet Area: 599 sq.ft
R392193,"2 BHK Apartment
38.8 L - 43.12 L",638 SQ.FT,₹ 42.39 L,Carpet Area: 638 sq.ft
R392193,"2 BHK Apartment
38.8 L - 43.12 L",649 SQ.FT,₹ 43.12 L,Carpet Area: 649 sq.ft
R430319,"3 BHK Villa
63.84 L - 80.56 L",1485 SQ.FT,₹ 63.84 L,Builtup Area: 1485 sq.ft
R430319,"3 BHK Villa
63.84 L - 80.56 L",1540 SQ.FT,₹ 66.2 L,Builtup Area: 1540 sq.ft
R430319,"3 BHK Villa
63.84 L - 80.56 L",1545 SQ.FT,₹ 66.42 L,Builtup Area: 1545 sq.ft
R430319,"3 BHK Villa
63.84 L - 80.56 L",1580 SQ.FT,₹ 67.92 L,Builtup Area: 1580 sq.ft
R430319,"3 BHK Villa
63.84 L - 80.56 L",1610 SQ.FT,₹ 69.21 L,Builtup Area: 1610 sq.ft
R430319,"3 BHK Villa
63.84 L - 80.56 L",1645 SQ.FT,₹ 70.72 L,Builtup Area: 1645 sq.ft
R430319,"3 BHK Villa
63.84 L - 80.56 L",1675 SQ.FT,₹ 72.01 L,Builtup Area: 1675 sq.ft
R430319,"3 BHK Villa
63.84 L - 80.56 L",1710 SQ.FT,₹ 73.51 L,Builtup Area: 1710 sq.ft
R430319,"3 BHK Villa
63.84 L - 80.56 L",1740 SQ.FT,₹ 74.8 L,Builtup Area: 1740 sq.ft
R430319,"3 BHK Villa
63.84 L - 80.56 L",1874 SQ.FT,₹ 80.56 L,Builtup Area: 1874 sq.ft
R428449,"Plot
22.5 L - 30.31 L",150 SQ.YD,₹ 22.5 L,Plot Area: 150 sq.yd
R428449,"Plot
22.5 L - 30.31 L",202 SQ.YD,₹ 30.31 L,Plot Area: 202 sq.yd
R409549,2 BHK Apartment,605 SQ.FT,Price on Request,Carpet Area: 605 sq.ft
R409549,3 BHK Apartment,745 SQ.FT,Price on Request,Carpet Area: 745 sq.ft
R409549,3 BHK Apartment,790 SQ.FT,Price on Request,Carpet Area: 790 sq.ft
R409549,3 BHK Apartment,745 SQ.FT,Price on Request,Carpet Area: 745 sq.ft
R409549,3 BHK Apartment,791 SQ.FT,Price on Request,Carpet Area: 791 sq.ft
R409549,3 BHK Apartment,745 SQ.FT,Price on Request,Carpet Area: 745 sq.ft
R409549,3 BHK Apartment,791 SQ.FT,Price on Request,Carpet Area: 791 sq.ft
R333859,"1 BHK Apartment
26 L",538 SQ.FT,₹ 26.0 L,Super Builtup Area: 538 sq.ft
R354918,"3 BHK Apartment
1.49 Cr - 1.68 Cr",2198 SQ.FT,₹ 1.49 Cr,Super Builtup Area: 2198 sq.ft
R354918,"3 BHK Apartment
1.49 Cr - 1.68 Cr",2274 SQ.FT,₹ 1.55 Cr,Super Builtup Area: 2274 sq.ft
R354918,"3 BHK Apartment
1.49 Cr - 1.68 Cr",2377 SQ.FT,₹ 1.62 Cr,Super Builtup Area: 2377 sq.ft
R354918,"3 BHK Apartment
1.49 Cr - 1.68 Cr",2465 SQ.FT,₹ 1.68 Cr,Super Builtup Area: 2465 sq.ft
R430176,"2 BHK Apartment
35.23 L - 51.84 L",783 SQ.FT,₹ 35.24 L,Saleable Area: 783 sq.ft
R430176,"2 BHK Apartment
35.23 L - 51.84 L",954 SQ.FT,₹ 42.93 L,Saleable Area: 954 sq.ft
R430176,"2 BHK Apartment
35.23 L - 51.84 L",1152 SQ.FT,₹ 51.84 L,Saleable Area: 1152 sq.ft
R430176,"3 BHK Apartment
64.8 L - 66.83 L",1440 SQ.FT,₹ 64.8 L,Saleable Area: 1440 sq.ft
R430176,"3 BHK Apartment
64.8 L - 66.83 L",1467 SQ.FT,₹ 66.02 L,Saleable Area: 1467 sq.ft
R430176,"3 BHK Apartment
64.8 L - 66.83 L",1485 SQ.FT,₹ 66.83 L,Saleable Area: 1485 sq.ft
R390105,"3 BHK Villa
4.38 Cr - 5.27 Cr",3255 SQ.FT,₹ 4.38 Cr,Saleable Area: 3255 sq.ft
R390105,"3 BHK Villa
4.38 Cr - 5.27 Cr",3400 SQ.FT,₹ 4.58 Cr,Saleable Area: 3400 sq.ft
R390105,"3 BHK Villa
4.38 Cr - 5.27 Cr",3860 SQ.FT,₹ 5.2 Cr,Saleable Area: 3860 sq.ft
R390105,"3 BHK Villa
4.38 Cr - 5.27 Cr",3915 SQ.FT,₹ 5.27 Cr,Saleable Area: 3915 sq.ft
R390105,"4 BHK Villa
6.5 Cr - 6.53 Cr",4826 SQ.FT,₹ 6.5 Cr,Saleable Area: 4826 sq.ft
R390105,"4 BHK Villa
6.5 Cr - 6.53 Cr",4850 SQ.FT,₹ 6.53 Cr,Saleable Area: 4850 sq.ft
