XID,Project Name,City,Squareyards.com Link
R402149,Town Empire City,Coimbatore,https://www.squareyards.com/gurgaon-residential-property/suncity-the-empire/234735/project
R330323,Samriddhi Sampat Greens,Indore,https://www.squareyards.com/indore-residential-property/samriddhi-sampat-greens/315463/project
R313143,CIDCO Mass Housing Scheme Taloja,Navi Mumbai,https://www.squareyards.com/rent/1-bhk-flat-in-cidco-mass-housing-scheme-navi-mumbai
R290373,Sahara City Homes,Lucknow,https://www.squareyards.com/sale/3-bhk-flat-in-sahara-city-homes-phase-i-lucknow
R237280,Sector 14 RWA,Gurgaon,https://www.squareyards.com/rent/apartments-for-rent-in-sector-14-gurgaon
R177855,RWA Greater Kailash 3,South Delhi,https://www.squareyards.com/resale-3-bhk-1800-sq-ft-builder-floor-in-greater-kailash-i/6918564
R177339,RWA NPL Colony,Central Delhi,https://www.squareyards.com/sale/property-for-sale-in-defence-colony-delhi
R135719,H Block Park Pocket,West Delhi,https://www.squareyards.com/sector-11-in-noida-overview-392
R112315,Swami Vivekanand Enclave,Ghaziabad,https://www.squareyards.com/projects-in-raj-bagh-ghaziabad
R78869,Nahar Lilium Lantana,Western Mumbai,https://www.squareyards.com/mumbai-residential-property/nahar-lilium-lantana/119625/project
R64228,Orchid Tower,Western Mumbai,https://www.squareyards.com/mumbai-residential-property/gundecha-orchid-tower/26402/project
R39422,Hiranandani Lightbridge,Thane,https://www.squareyards.com/thane-residential-property/hiranandani-lightbridge/42540/project
R32394,Gami Koregaon,Pune East,https://www.squareyards.com/sale/apartments-for-sale-in-koregaon-park-pune
R28932,Mahagun Maple,Noida,https://www.squareyards.com/noida-residential-property/mahagun-maple/615/project
R28022,CGHS SOM,Dwarka Delhi,https://www.squareyards.com/sale/resale-properties-in-the-bhagwati-cghs-delhi
R12470,Defence Officers Apartments,Dwarka Delhi,https://www.squareyards.com/rent/apartments-for-rent-in-delhi
R12310,Ashoka Apartments,Dwarka Delhi,https://www.squareyards.com/sale/apartments-for-sale-in-sector-18-dwarka-delhi
R438192,SS Bhavya Enclave,Indore,https://www.squareyards.com/hyderabad-residential-property/bhavya-evora/226843/project
R436913,Arvind Uplands 3,Ahmedabad South,https://www.squareyards.com/bangalore-residential-property/samruddhi-uplands/14224/project
R435863,Sunsiri The Lotus,Guntur,https://www.squareyards.com/sale/property-for-sale-near-undavalli-caves-guntur-in-vijayawada
R434479,Runjhun Sudha Enclave,Hapur,Not Found
R433843,RMC Farms,Coimbatore,https://www.squareyards.com/rent/lands-for-rent-in-ahmedabad
R433771,Visvas Vaaruni Enclave,Madurai,Not Found
R433762,Opus 96,Chennai South,https://www.squareyards.com/hyderabad-residential-property/my-home-vihanga/11437/project
R429636,DAC Avenue One,Chennai South,https://www.squareyards.com/chennai-residential-property/kmr-sri-nandana-avenue/325712/project
R429443,RCS KRK Elite 99,Aurangabad,Not Found
R429438,Rose Hills Estate,Srinagar,https://www.squareyards.com/thane-residential-property/hiranandavi-rodas-enclave-rosehill/42554/project
R429162,Sri Savithru Township,Guntur,https://www.squareyards.com/amangal-in-hyderabad-overview-18627
R428295,Ask Chennai Highway City,Chennai South,https://www.squareyards.com/chennai-residential-property/sameera-kanchi-big-town/246444/project
R428048,Lodhi Kasturi Habitat Phase 2,Bhopal,Not Found
R424982,Shadow Citrine City,Pune East,https://www.squareyards.com/ready-to-move-by-marvel-in-pune
R422585,Ujwal Royal Residency,Hubli,https://www.squareyards.com/thane-residential-property/regency-sapphire/246805/project
R420440,Nandan Green Meadows,Pune West,https://www.squareyards.com/pune-residential-property/rainbow-green-meadows/236387/project
R419372,Prarambh Smart City,Ahmedabad South,https://www.squareyards.com/projects-by-shyaswa-group-in-ahmedabad
R413623,Swarga Sirulaseema II,Hyderabad,https://www.squareyards.com/hyderabad-residential-property/swargaseema-suketana/226882/project
R413330,Nutech Inscape,Chennai West,Not Found
R412313,HPR Avani,Hyderabad,https://www.squareyards.com/resale-197-sq-yd-plot-in-hpr-avani-/5758032
R403762,Parshavanath City,Kota,https://www.squareyards.com/projects-by-parshwanath-in-ahmedabad
R403017,Enchante by Pacifica,Chennai South,https://www.squareyards.com/chennai-residential-property/pacifica-enchante/216634/project
R398992,Haridwar Paradise,Haridwar,https://www.squareyards.com/resale-3-bhk-pooja-room-1350-sq-ft-villa-in-palm-paradise/7754807
R397721,Presidency Mayfair Highlands,Dehradun,https://www.squareyards.com/dehradun-north-in-dehradun-overview-204
R382864,Pathos Paras,Patna,https://www.squareyards.com/patna-residential-property/herbal-city/332796/project
R379971,Prestige Great Acres,Bangalore East,https://www.squareyards.com/bangalore-residential-property/prestige-great-acres/111122/project
R342019,The Green Valley Address,Bangalore West,https://www.squareyards.com/bangalore-residential-property/the-green-valley-address/30296/project
R328339,Vriddhica Heritage,Kolkata South,Not Found
R322829,Vatika Westin Sohna Resort,Gurgaon,https://doc.squareyards.com/ProjectKnowledge/Brochure_f3497a4c8d6a441080dab56041d6a5a5.pdf
R313801,Akshithas Golden Breeze Extension,Hyderabad,Not Found
R300015,SIS Capetown,Chennai North,https://www.squareyards.com/chennai-residential-property/sis-marakesh/8369/project/floor-plans
R293785,BDA Sardar Vallab Bhai Patel Apsi Karar Yojna,Bhopal,https://www.squareyards.com/resale-640-sq-ft-plot-in-sardar-vallabh-bhai-patel/8039847
R291135,Lord Empire Metro Colony,Indore,https://www.squareyards.com/sector-43-in-faridabad-overview-220
R270883,A S Golf Greens,Raipur,https://www.squareyards.com/resale-1500-sq-ft-plot-in-metro-park-plots-residential-house-commercial-plots-avalivle/6976220
R270621,Greenfield Meadows,Mangalore,https://www.squareyards.com/mumbai-residential-property/green-field-b-chs-ltd/65487/project
R253739,Avinash Garden City,Raipur,https://www.squareyards.com/rent/property-for-rent-in-saddu-raipur
R202871,Trishul Terraces,Navi Mumbai,https://www.squareyards.com/navi-mumbai-residential-property/sharda-terraces/131189/project
R195709,Maitri Street,Navi Mumbai,https://www.squareyards.com/sale/2-bhk-for-sale-in-kamothe-navi-mumbai
R101061,Safal Glade One,Ahmedabad West,Not Found
R61839,Mahidhara Fortune City,Bangalore South,https://www.squareyards.com/bangalore-residential-property/mahidhara-fortune-city/14806/project
R15646,Mahidhara Supreme,Chennai South,https://doc.squareyards.com/ProjectKnowledge/177158-mahidhara-paradise-brochure-1479.pdf
R45,Emaar Mohali Hills Plots,Mohali,https://www.squareyards.com/sale/resale-properties-in-emaar-mohali-hills-chandigarh
R436826,TVH Avanta,Coimbatore,Not Found
R424561,Prajay Virgin County Phase 2,Hyderabad,https://www.squareyards.com/sale/resale-properties-in-prajay-virgin-county-villas-hyderabad
R338211,Avinash Twin City,Raipur,https://www.squareyards.com/rent/properties-for-rent-in-avanti-vihar-raipur-under-20-thousand
R228057,PDA Omaxe City,Patiala,https://www.squareyards.com/sale/resale-properties-in-dayal-friends-colony-lucknow
R20078,Suraksha Enclave,Sonipat,https://www.squareyards.com/sonipat-residential-property/suraksha-enclave/311569/project
R180623,Altus Muirwoods,Chandigarh,https://www.squareyards.com/chandigarh-residential-property/altus-muirwood-ecocity/250047/project
