XID,Project Name,City,NoBroker.in Link
r5518,Magnolias Neelkanth Greens,Thane,Not Found
r382144,Lodha Codename Premier,Thane Outskirts,Not Found
r285221,Shalimar One World Belvedere Court,Lucknow,Not Found
r422247,Winsome Icon,Patna,Not Found
r428106,Rishi Ventoso Phase 2,Kolkata North,Not Found
r411351,Krishna Bai Residency,Hyderabad,https://www.nobroker.in/krishna-bai-residency-peerzadiguda_hyderabad-prjt-l1t7u1o5q3g214q8x23040d8
r1350,Puri Diplomatic Greens,Gurgaon,https://www.nobroker.in/flats-for-sale-near-puri-diplomatic-greens-phase-ii-gurgaon
r429184,Nava Vajra,Bangalore East,Not Found
r423236,Prestige Somerville,Bangalore East,Not Found
r275013,PC Amansara,Bangalore North,Not Found
r418742,Abhee Celestial City,Bangalore East,https://www.nobroker.in/abhee-celestial-city-dommasandra_bangalore-prjt-8a9fef8288f6bb650188f75cb2b9702c
r372710,Solitaire Vista,Ahmedabad North,Not Found
r408936,Kalpvan Apartment,Nasik,Not Found
r418104,Veer Swastik Hills,Surat,Not Found
r413922,Deb Parnasree Paradise,Kolkata South,Not Found
r423221,JRD Vistara Green Villas,Coimbatore,Not Found
r432515,Sai Green City,Coimbatore,Not Found
r430177,Dhyanam Villas,Udaipur,Not Found
r337581,Praneeth Pranav Townsquare,Hyderabad,https://www.nobroker.in/praneeth-pranav-townsquare-bachupally_hyderabad-prjt-8a9f88827903fa6801790478fbbc2c9c
r431065,Sree Shresta Enclave,Bangalore East,Not Found
r374132,Cybercity Westbrook,Hyderabad,https://www.nobroker.in/cybercity-westbrook-financial-district_hyderabad-prjt-8a9f97827e05a563017e0627266644e5
r385165,Sukhii Ubuntu,Hyderabad,https://www.nobroker.in/sukhii-ubuntu-puppalguda_hyderabad-prjt-8a9fc3828150eefd01815185c7d877ae
r383034,GM Meena Galaxy,Kolkata North,Not Found
r408083,Skyscraper Astha,Kolkata East,Not Found
r30998,The Presidential Tower,Bangalore West,https://www.nobroker.in/cntc-the-presidential-tower-yeshwanthpur_bangalore-prjt-8a9f90827d46753d017d46f4bf1f47fa
r430204,Casagrand Avenuepark,Chennai South,Not Found
r419986,Millennium Falcon,Pune West,https://www.nobroker.in/forum/what-are-the-millennium-falcon-tathawade-pune-reviews-prjtrw/
r425233,Rai Galaxy,Thane Outskirts,Not Found
r433770,Jain Pramukh Samriddhi Towers,Hyderabad,Not Found
r434964,Nakshatra North City,Aurangabad,Not Found
r389901,CI Grand,Bhopal,Not Found
r402156,Design Builders The East Gate,Trichy,Not Found
r438106,Maa Harmony,Vadodara,Not Found
r427647,Kohinoor Riverdale,Pune East,Not Found
r273337,Ashiana Tarang,Bhiwadi,Not Found
r410653,Southwind Exotica,Bardhaman,Not Found
r417585,Tulsi Darshan,Vadodara,Not Found
r409851,Rajparis Diamond,Chennai North,Not Found
r412235,Symphony Proxima,Kolkata South,Not Found
r377050,Benchmark Aspire,Kolkata East,Not Found
r404561,Etha Su Casa Valley,Kolkata South,Not Found
r406102,Dream City,Patna,Not Found
r416824,Narayan Green Vistas,Vadodara,Not Found
r436830,3Baan Farms,South Delhi,Not Found
r391991,Theme Imperial,Hyderabad,Not Found
r380681,Lodha Woods,Western Mumbai,https://www.nobroker.in/forum/what-are-the-reviews-of-lodha-woods-kandivali-east-mumbai-prjtrw/
r413125,Windsong Residences,Panchkula,Not Found
r420375,Sri Sai Residency,Lucknow,Not Found
r425773,AU The Sunflower,Ghaziabad,Not Found
r406438,Vikaans Primero,Chennai South,Not Found
r430082,Euphoria in The East,Bangalore East,https://www.nobroker.in/sowparnika-euphoria-in-the-east-whitefield_bangalore-prjt-8a9f8c039015fded0190162bfa3116b1
r407176,The Blue,Ghaziabad,Not Found
r423234,The Gale at Godrej Park World,Pune West,Not Found
r421461,Vanshdeep Vision 204,Jaipur,Not Found
r135659,North East County by Bhashyam,Hyderabad,Not Found
r429275,Casagrand Estilo,Chennai South,https://www.nobroker.in/forum/what-are-the-casagrand-estilo-reviews-pallavaram-chennai-prjtrw/
r405375,Manepally Green Grandeur,Hyderabad,https://www.nobroker.in/manepally-green-grandeur-kompally_hyderabad-prjt-8a9f978389bf9cb30189c022987c65dd
r425106,Ruparel Stardom,Western Mumbai,https://www.nobroker.in/ruparel-stardom-malad-west_mumbai-prjt-8a9f88048ed5d7a2018ed60aa7ef1d10
r432183,Keya The Lake Terraces,Bangalore South,Not Found
r426925,RRL Palacio,Bangalore East,https://www.nobroker.in/rrl-palacio-sarjapura_bangalore-prjt-l1k7u1l8i0a1h8t1d8i9q3i0
r406639,Oblong Vega 4,Chennai North,Not Found
r351267,Nirmal Landmark,Hyderabad,https://www.nobroker.in/nirmal-landmark-ramanthapur_hyderabad-prjt-63abe31b1d236d00011c3835
r33782,Sattva Magnificia,Bangalore East,https://www.nobroker.in/sattva-magnificia-mahadevapura_bangalore-prjt-ff80818161e136ab0161e4f258531506
r436841,Navanaami Courtyard Of Life,Bangalore East,https://www.nobroker.in/navanaami-courtyard-of-life-sarjapur_bangalore-prjt-8a9f93039357679d019357d876b93c46
r411999,Infinium Central 16,Coimbatore,Not Found
r418191,Joyville Celestia,Pune East,https://www.nobroker.in/forum/what-are-the-reviews-of-shapoorji-joyville-celestia-manjri-pune-prjtrw/
r399106,Arihant One,Greater Noida,https://www.nobroker.in/arihant-one-sector-1_noida-prjt-8a9fa7828659096d0186599453f55c53
r269167,Godrej Golf Links Evoke Villas,Greater Noida,Not Found
r378890,Green Field Diamond Avenue,Coimbatore,Not Found
r403674,Leverage Green Heights,Nagpur,Not Found
r428601,Kochar Jewel,Chennai South,Not Found
r368704,Ashtvinayak Uptown,Ahmedabad North,Not Found
r381250,Navins Hanging Gardens,Chennai West,Not Found
r424433,Provident Botanico,Bangalore East,https://www.nobroker.in/provident-botanico-whitefield_bangalore-prjt-8a9ff2838b0933ff018b0940147e0526
r426628,Promise of Spring,Bangalore North,https://www.nobroker.in/assetz-promise-of-spring-devanahalli_bangalore-prjt-8a9f8b448caa61c7018caa960b6a2280
r421530,DS Max Sista Grand,Bangalore South,Not Found
r433624,Ramkamal Luxe,Chennai South,Not Found
r394754,Subham Garden,Jorhat,Not Found
r6398,Pratham Bluets,Vadodara,Not Found
r263555,Piramal Aranya,South Mumbai,https://www.nobroker.in/piramal-aranya-byculla-east_mumbai-prjt-8a9f9282822413a1018224a1f4cd6bf7
r433760,Nand Yashoda Highrise,Nagpur,Not Found
r431013,Uttarayan Paradise,Dhubri,Not Found
r406711,Guruchhaya Apartment,Aurangabad,Not Found
r435798,Aarna Antica,Vadodara,Not Found
r399974,Green Courtyard,Kota,Not Found
r404397,Emzar Hightown,Nagpur,Not Found
r411543,Oshians Legend,Nagpur,Not Found
r425149,Panchnai Aura,Siliguri,Not Found
r417017,Casagrand Palm Springs,Chennai South,Not Found
r379578,Merlion Galaxia,Hyderabad,https://www.nobroker.in/merlion-galaxia-miyapur_hyderabad-prjt-8a9fb1827afca974017afd0be58b24a6
r347957,Indis Viva City,Hyderabad,https://www.nobroker.in/indis-viva-city-kondapur_hyderabad-prjt-8a9f9a827679d8e801767a0c56fb11f9
r420337,Silverpeak Panihati Pride,Kolkata North,Not Found
r62235,Mahindra Luminare,Gurgaon,https://www.nobroker.in/flats-for-sale-near-mahindra-luminare-gurgaon
r433830,Lifestyle Luxor,Coimbatore,Not Found
r418863,Pyramid Centria,Navi Mumbai,Not Found
r391340,Navi Mumbai Plots,Navi Mumbai,Not Found
r433636,Terra Pyramid Pride Nest,Bangalore North,Not Found
r395316,Perfect Royal vistas,Kolkata South,Not Found
r427795,Sree Balajis Pearl,Visakhapatnam,Not Found
r409559,Nirman Vistaa,Kolkata East,Not Found
r429173,Alora Woods and Himagiri Arcadia,Bangalore East,Not Found
r428204,Mansha Heritage,Sonipat,Not Found
r304899,Arocon Rainbow,Ghaziabad,https://www.nobroker.in/arocon-rainbow-mahurali-ghaziabad_ghaziabad-prjt-5da448253931e7f57a2d10c5
r391879,Max Woods,Madurai,Not Found
r394298,Abhinav Pebbles Greenfields,Pune West,Not Found
r307145,Hari Ashray Nagar,Haridwar,Not Found
r402494,Concorde Equity,Kolar,https://www.nobroker.in/concorde-equity-kolar-road_bangalore-prjt-g1z7u0w870g8y056s4t7c7t3?nbFr=society_page_similar
r398215,EIPL Corner Stone,Hyderabad,Not Found
r416437,Godrej Sunrise Estate,Chennai South,Not Found
r403086,Sattva Bliss,Bangalore East,https://www.nobroker.in/sattva-bliss--bommenahalli---_bangalore-prjt-8a9ff582866355f7018663cb10c2616a
r331957,Krisumi Waterfall Residences,Gurgaon,Not Found
r385044,Tilottama Natural City,Kolkata North,Not Found
r369997,Casagrand First City,Chennai South,Not Found
r1602,BPTP Discovery Park,Faridabad,https://www.nobroker.in/bptp-discovery-park--sector-80-faridabad_faridabad-prjt-5da4568e0e3bcc92256dc821
r426835,Tricity Aspire,Navi Mumbai,Not Found
r395988,Prarthana Eco Exotica,Ranchi,Not Found
r260992,Bhardwaj Sai Villas and Apartments,Raipur,Not Found
r434439,Courtyard Prime,Bhopal,Not Found
r417061,Ssd Peace Residency,Nagpur,Not Found
r68510,GKBs Grace Prime,Jaipur,Not Found
r435912,Reigate Lyndale Park,Calicut,Not Found
r213691,Ratan Panorama,Kanpur,Not Found
r378409,Ace Starlit,Noida,"https://www.nobroker.in/ace-starlit--sector-152-,noida_greater_noida-prjt-8a9f80827be6de69017be81e18524c40"
r388010,Shikhar Greens,Navi Mumbai,Not Found
r303,Jaypee Greens Kalypso Court,Noida,https://www.nobroker.in/jaypee-greens-kalypso-court-sector-128_noida-prjt-8a9fe183886baff101886be714e91f9e
r419537,Siddhivinayak Signature City,Navi Mumbai,https://www.nobroker.in/siddhivinayak-signature-city-taloja_mumbai-prjt-8a9fa0838c71b2b6018c720e74584cd1
r305166,Tulip Wadhwa Wise City,Navi Mumbai,Not Found
r399946,Sanskruti Sky,Vadodara,Not Found
r416689,Sorrento Rosette,Vadodara,Not Found
r343931,Solitaire Valley,Allahabad,Not Found
r422768,Atlantis,Nagpur,https://www.nobroker.in/flats-for-rent-near-atlantis_city_pune
r397532,Devashri Elanza 1 and 2,Margao,Not Found
r411008,Spotlight Countryside,Kolkata South,Not Found
r414331,Natural City Madhyamgram,Kolkata North,Not Found
r411425,Sarang by Sumadhura Phase 1,Bangalore East,Not Found
r381477,THE ANANDA,Hyderabad,https://www.nobroker.in/the-ananda-infinite-joy-project-ananda_hyderabad-prjt-65bcd26f33336a6aa7fffa36
r402868,Prestige Clairemont,Hyderabad,https://www.nobroker.in/prestige-clairemont-neopolis_hyderabad-prjt-8a9f9c8284e65ba10184e68807c41c0f
r419941,Chitrakut Greenville,Kolkata East,Not Found
r376145,Shriram The Poem,Bangalore North,https://www.nobroker.in/shriram-the-poem-abbigere_bangalore-prjt-8a9fef8285394b4c0185397bbccf22ca
r401648,Keya Spring,Bangalore South,https://www.nobroker.in/keya-spring-mico-layout-2nd-stage_bangalore-prjt-8a9fd68283db19720183db96c3995eb8
r376373,Vertex Viraat,Hyderabad,https://www.nobroker.in/forum/what-are-the-vertex-viraat-reviews-miyapur-hyderabad-prjtrw/
r342545,Supreme Blossoms,Nagpur,Not Found
r418966,NSL East Luxoria,Hyderabad,Not Found
r403916,Shalimar Gallant West,Lucknow,Not Found
r406866,5 Dugar,Chennai Central,Not Found
r435795,Sreenidhi Serenity Banashankari,Bangalore South,Not Found
r435526,Satermai Silver Solitude,North Goa,Not Found
r438209,GS Shristi Vista,Kolkata East,Not Found
r438102,Oshian Super City 5,Nagpur,Not Found
r438231,Adikara Avira Ville,Nasik,Not Found
r381691,Sudarshan Landmark,Western Mumbai,https://www.nobroker.in/sudarshan-landmark-jogeshwari-east_mumbai-prjt-63ac00e28a1ccd0001413a73
r402775,Aishwarya Sahakari Gruharachna Sanstha Maryadit,Pune Central,Not Found
r404243,Lodha Divino,South Mumbai,https://www.nobroker.in/lodha-divino--matunga-east_mumbai-prjt-8a9fd39485443a940185444b75a70894
r61689,Ashiana Umang,Jaipur,Not Found
r398492,Dions Sky Walk,Cuttack,Not Found
r429563,Fortune Prime,Vadodara,Not Found
r419794,Trishul Happy Homes Varenya,Bangalore East,Not Found
r426644,BPTP The Amaario,Gurgaon,Not Found
r384074,Surabhis Signature Villas,Hyderabad,https://www.nobroker.in/surabhis-signature-villas-osman-nagar_hyderabad-prjt-63ac016a65fce600019ca0b2
r419876,Wave by Raghava,Hyderabad,Not Found
r260370,Assetz 63 Degree East,Bangalore East,https://www.nobroker.in/assetz-63-degree-east-kodathi-village_bangalore-prjt-ff8081816b4aaaf2016b4aaca2ec006c
r418843,Smartworld The Edition,Gurgaon,Not Found
r354428,Piya Hill View,Guwahati,Not Found
r430662,BRC Sree Hemadurga Nava,Hyderabad,Not Found
r349023,Shree Kapileshwar Dwelling,Vadodara,Not Found
r103296,Kundan Praangan,Pune North,Not Found
r435873,Horizon Palms 4,Thane,Not Found
r342571,A C Jain Arrpan Housing,Nasik,Not Found
r437089,Unique Gloria,Kolkata North,Not Found
r368140,KK Marks,Pune West,https://www.nobroker.in/kk-marks-ravet_pune-prjt-8a9f9283931ec1bd01931f228e882707
r20852,Pharande Puneville,Pune West,https://www.nobroker.in/pharande-puneville--punawale_pune-prjt-8a9f90827a3a457a017a3a71af221018
r422558,Godrej Reserve,Western Mumbai,https://www.nobroker.in/godrej-reserve-mumbai-kandivali-east_mumbai-prjt-8a9f88838cfb72cf018cfc47a5395e88
r405850,Suryayug Lotus,Pune North,Not Found
r328927,Samraat Apna Ghar,Nasik,Not Found
r430977,DAC Midtown,Chennai South,Not Found
r429486,Claremont by Origin,Western Mumbai,Not Found
r433863,Kamdhenu Crown,Navi Mumbai,Not Found
r432274,Shree Kriba Flats,Chennai South,Not Found
r393580,Shree Hari Luxuria,Surat,Not Found
r416742,Kiera London House,South Delhi,Not Found
r273787,GPS Meena Pride,Kolkata East,Not Found
r319279,Noble Nakshatra Phase 1,Nagpur,Not Found
r411033,Divine Newquay,Pune South,Not Found
r402429,Mathapathi Grand Field,Bangalore East,https://www.nobroker.in/mathapathi-grand-field_bangalore-prjt-8a9f84849565f93d01956610f32b0890
r426093,Sharanya Kadamb,Ahmedabad West,Not Found
r418926,The Hanuman Complex,Kolkata West,Not Found
r375038,Cordial Magnolia,Trivandrum,Not Found
r423459,Madhuvan The Rise,Vadodara,Not Found
r426316,Dani Sky,Navi Mumbai,Not Found
r430114,Blueark Blue Ridge,Cuttack,Not Found
r412424,Ideal Towers,Kolhapur,Not Found
r53118,Bhuvana Oak Park,Coimbatore,Not Found
r397275,DLF The Valley Gardens,Panchkula,Not Found
r404368,Shangri La Imperial,Vadodara,Not Found
r430174,Excentia Tatva,Dehradun,Not Found
r325311,Rishita Mulberry Heights,Lucknow,Not Found
r418319,Brigade Sanctuary,Bangalore East,https://www.nobroker.in/forum/what-are-the-brigade-sanctuary-review-sarjapur-road-bangalore-prjtrw/
r414336,VGN Classique,Chennai North,https://www.nobroker.in/vgn-classique-ambattur_chennai-prjt-8a9fef838a6d6b2c018a6e09ac5a3fe9
r197671,Keerthi Krishna Viva,Bangalore East,https://www.nobroker.in/keerthi-krishna-viva-kaikondrahalli_bangalore-prjt-8a9fa8827d0e7404017d0e82bce507b2
r401542,Casagrand Aria,Chennai South,Not Found
r324247,Purva Zenium,Bangalore North,https://www.nobroker.in/purva-zenium-devanahalli_bangalore-prjt-ff8081816a24a041016a251984345c90
r334013,Modi Sterling Heights,Hyderabad,https://www.nobroker.in/modi-sterling-heights-gundlapochampalli_hyderabad-prjt-5d01a7d5714b561a44cbeabc
r395806,DAC Prathyangira,Chennai South,Not Found
r404764,Vivaan Essence,Ahmedabad North,Not Found
r404068,M3M Crown,Gurgaon,https://www.nobroker.in/m3m-crown-phase1-sector-111_gurgaon-prjt-8a9fbe8284898cd701848a2b2f99766f
r268613,Mahagun Montagge,Ghaziabad,https://www.nobroker.in/mahagun-montagge-crossings-republik-ghaziabad_noida-prjt-8a9f88838e8371d5018e83ac137f22e1
r429386,Dac Marshal,Chennai South,Not Found
r379476,Solaris Shalimar,Kolkata West,Not Found
r386994,Sumadhura Aspire Amber,Bangalore East,https://www.nobroker.in/sumadhura-aspire-amber--whitefield_bangalore-prjt-8a9fab82800c7edb01800cf4440b53cf
r403183,Vasavi Anandanilayam,Hyderabad,Not Found
r432542,ATS Sanctuary 105,Gurgaon,Not Found
r410443,Kavisha Aer,Ahmedabad West,Not Found
r271655,Unnati Shree Rath Apartments,Hyderabad,Not Found
r348347,Kalpataru Elitus,Central Mumbai,https://www.nobroker.in/kalpataru-elitus-mulund-west_mumbai-prjt-8a9fba827c9801ec017c98134356095b
r419526,Avant Heritage 5,Western Mumbai,Not Found
r380659,APR Praveens Higheria,Hyderabad,https://www.nobroker.in/apr-praveens-higheria-patancheruvu_hyderabad-prjt-b1a7u1k5i3o2q4d8u5c5y5p4
r299583,Ranjai Apartments,Pune South,Not Found
r423876,Vinayak Rajkunj,Kolkata East,Not Found
r428811,Drushika Imperial,Indore,Not Found
r405630,Bhoomi Imperia,Nasik,Not Found
r437589,Nilaya Pride,Nasik,Not Found
r410862,Nyati Emerald,Pune West,https://www.nobroker.in/nyati-emerald-baner_pune-prjt-8a9fce838a4bc669018a4bd97a5a0b5b
r7662,Paramount Golfforeste,Greater Noida,Not Found
r399126,L And T West Square,Navi Mumbai,Not Found
r424982,Shadow Citrine City,Pune East,Not Found
r423314,L and T The Gateway,South Mumbai,Not Found
r423182,Pristine O2 World,Pune East,https://www.nobroker.in/pristine-o2-world-kharadi_pune-prjt-8a9fa6848c284d74018c2908262b7078
r407012,Hiranandani Golden Willows,Navi Mumbai,Not Found
r424734,Meher Ganga,Nagpur,Not Found
r384418,Shree Radhe Shyam,Vadodara,Not Found
r422994,Krishna Darshan Niwas,Vadodara,Not Found
r428749,Kukreja Embassy 2,Nagpur,Not Found
r420565,Silver Park,Jabalpur,Not Found
r414070,Etha Su Casa Imperial,Kolkata South,Not Found
r428452,Sumadhura Palais Royale,Hyderabad,https://www.nobroker.in/sumadhura-palais-royale-kokapet_hyderabad-prjt-8a9f82038fc32a81018fc37b8c3c2a48
r400481,DAC Medallion,Chennai South,Not Found
r402584,Casagrand Flagship,Chennai South,https://www.nobroker.in/casagrand-flagship-pallikaranai_chennai-prjt-8a9fa78283548f2e01835517cf615f82
r432485,Keystone Seasons,Gurgaon,Not Found
r79448,Siddha Eden LakeVille,Kolkata North,Not Found
r427979,Concorde Mayfair,Bangalore North,https://www.nobroker.in/concorde-mayfair-yelahanka_bangalore-prjt-8a9f914390e990970190e996a97e00e5
r396984,Whiteland Blissville,Gurgaon,https://www.nobroker.in/whiteland-blissville-sector-76_gurgaon-prjt-8a9ff182850af0d201850b01c97e0806
r407796,Siva Sai Infra Myra,Hyderabad,Not Found
r433829,Feyre Villas,North Goa,Not Found
r228459,B and A Prime Crescent Avenue,Tirunelveli,Not Found
r383945,Eden Willow Estate,Kolkata South,Not Found
r396979,Atri Aqua,Kolkata South,Not Found
r406695,Dream World,Aurangabad,Not Found
r259309,Oranje Castle,Lucknow,Not Found
r436153,DRD Baladhandayuthabani Garden,Coimbatore,Not Found
r428587,Roofvest One Square,Chennai South,Not Found
r343707,Mahindra Happinest Kalyan 2,Thane Outskirts,Not Found
r426162,Chandak Highscape City,Central Mumbai,https://www.nobroker.in/forum/what-are-the-chandak-highscape-city-reviews-prjtrw/
r312775,Kanakia Silicon Valley,Central Mumbai,https://www.nobroker.in/kanakia-silicon-valley---rental-powai_mumbai-prjt-8a9fb88a8953757b018953b1e0002498
r460,Paranjape Blue Ridge,Pune West,https://www.nobroker.in/paranjape-blue-ridge-hinjewadi_pune-prjt-8a9fb382799d300b01799dff42445cf8
r411122,Shantam Meadows,Vadodara,Not Found
r425849,Bhima Vishaka,Mysore,Not Found
r374996,Vertex Kingston Park,Hyderabad,https://www.nobroker.in/vertex-kingston-park-nallagandla-hyderabad_hyderabad-prjt-63ac04d7fb79530001bf941c
r406625,Southern Woods,Kolkata South,Not Found
r397857,Nest Craft,Chennai South,Not Found
r24988,Prateek Grand City,Ghaziabad,https://www.nobroker.in/prateek-grand-city-siddharth-vihar_ghaziabad-prjt-5da448253931e7f57a2d0ba5
