xid,Name,Rera ID,NoBroker RERA ID,Builder Project RERA ID,Address,Price Starting From,Unit Configuration,Parking,Property Type,Water Supply,Builder,Date of establishment,Date of completion,Units,Min Flat Size,Max Flat Size,Project Area,Min. Price,Possesion Date,Security,Amenities,Top Benefits
r413382,Shriram Solitaire,TOR/PRM/KA/RERA/1251/309/PR/221116/000068,Not Found,Not Found,"Near Vidhya Vikas Pre-School, Veerasagara village, Yelahanka New Town, Bangalore",₹79.05 Lacs onwards,"2,2.5,3 BHK",Bike and Car,Apartment,Corporation and Borewell,Shriram Properties,January 1995,Not Found,264,668 sqft,1125 sqft,6.85 acres,₹83 Lacs,May 2025,Gated Security,"Children's play area, Rain water harvesting, Tennis court, Badminton court, Party area, Gym","Close Proximity To IT Hubs, Homes With Splendid Lake View, High Rental Yield"
r376088,Smart World Orchard,RC/REP/HARERA/GGM/506/238/2021,Not Found,Not Found,"Near Grand Hyatt, Baharampur Naya, Sector 61, Gurugram",,"2.5,3 BHK",Bike and Car,Apartment,Not Found,SmartWorld Developers Pvt Ltd,January 2021,Not Found,1200,784 sqft,1141 sqft,25.00 acres,₹2.24 Cr,December 2024,Gated Security,"Party area, Rain water harvesting, Spa, Cctv camera, Visitor parking, Shopping center",Not Found
r235520,Fortune Butterfly City,Not Found,Not Found,Not Found,,Not Found,Not Found,Bike,Apartment,Corporation and Borewell,Fortune Infra Developers,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,,Not Found
r386987,DS Max Sukruth,PRM/KA/RERA/1251/308/PR/280222/004739,Not Found,Not Found,"Near Dancercise,Thirumagondanahalli,Chandapura,Bengaluru",₹72 Lacs - ₹92 Lacs,"2,3 BHK",Bike and Car,Apartment,Corporation and Borewell,DS MAX Properties Pvt Ltd,January 2007,Not Found,312,593 sqft,879 sqft,2.22 acres,₹72 Lacs,February 2026,Gated Security,"Power backup, Gym, Library, Cctv camera, Rain water harvesting, Lift",Not Found
r4700,Lodha Bella Vita,Not Found,A51800026821,P52100046081,"Near Ganga Florentina, off NIBM Road, NIMB, Pune",₹92.11 Lacs - ₹1.3 Crores,"2,3,3.5,4,4+ BHK",Bike and Car,Apartment,Corporation and Borewell,Lodha Group,January 1980,Not Found,470,805 sqft,2300 sqft,13.00 acres,₹1.05 Cr,December 2027,Gated Security,"Community hall, Spa, Party area, Gym, Park, Common garden","Proximity to Pune Railway station, Proximity to Orchid International School, Clubhouse With Class Amenities, Easy Access to Daily Essentials"
r24280,Runwal Forests,Not Found,A51800026821,P51800001137,"Near Mangatram petrol pump, LBS Road,Kanjurmarg West,Mumbai",₹1.17 Crores - ₹2 Crores,"1,1.5,2,3 BHK",Bike and Car,Apartment,Corporation and Borewell,Subodh Runwal Group,January 1978,Not Found,1200,430 sqft,1081 sqft,16.00 acres,₹1.36 Cr,June 2026,Gated Security,"Visitor parking, Spa, Rain water harvesting, Common garden, Power backup, Tennis court","Urban forest-themed development, Clubhouse WIth 20+ Amenities, 15-Acre Residential Campus, Connectivity To Eastern Express Highway"
r436183,Godrej Evergreen Square,Not Found,A51800026821,P52100078240,"Near Metro Super Mall, Hinjewadi Phase 3, Pimpri-Chinchwad, Pune.",₹68 Lacs - ₹1.15 Crores,"1,2,3 BHK",Bike and Car,Apartment,Corporation and Borewell,Godrej Properties,January 1990,Not Found,1800,500 sqft,1074 sqft,11.00 acres,₹81 Lacs,October 2030,Gated Security,"Power backup, Gym, Library, Cctv camera, Rain water harvesting, Lift","Luxurious 1, 2 & 3 BHK Apartments, Lifestyle Amenities, Near To Upcoming Metro Station"
r369486,Kuber Shrushti Residency,Not Found,Not Found,Not Found,,Not Found,Not Found,Not Found,Apartment,Corporation and Borewell,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,,Not Found
r395412,Ashiana Malhar,Not Found,A51800026821,P52100076601,"Near Life Republic Township, Hinjewadi - Marunji Road,Hinjewadi, Pune",₹68 Lacs - ₹1.02 Crores,"2,3 BHK",Bike and Car,Apartment,Corporation and Borewell,Ashiana Housing Limited,January 1986,Not Found,990,733 sqft,1177 sqft,11.33 acres,₹74 Lacs,March 2028,Gated Security,"Atm, Children's play area, Fire safety, Club house, Common garden, Power backup","Surrounded With Lush Greenery, Close to Mumbai- Bangalore Highway, Proximity To Akurdi Railway Station"
r394292,Ashwamedh Ratnaprabha,Not Found,A51800026821,P52100045880,"Near Rumeso International, Rambaug Colony, Kothrud, Pune",,"2,3 BHK",Bike and Car,Apartment,Corporation and Borewell,Ashwamedh Spaces,Not Found,Not Found,17,621 sqft,1240 sqft,1.00 acres,₹2.04 Cr,June 2025,Gated Security,"Badminton court, Basketball court, Cctv camera, Maintenance staff, Lift, Common garden",Not Found
r409008,Sobha Neopolis,Phase 1: PRM/KA/RERA/1251/446/PR/200923/006269 Phase 2: PRM/KA/RERA/1251/446/PR/200923/006270 Phase 3: PRM/KA/RERA/1251/446/PR/220923/006282 Phase 4: PRM/KA/RERA/1251/446/PR/220923/006283 Phase 5: PRM/KA/RERA/1251/446/PR/200923/006271,Not Found,Not Found,"Near State Bank of India, ORR East, Panathur ,Bengaluru.",₹90.48 Lacs - ₹3.62 Crores,"1,3,3.5,4 BHK",Bike and Car,Apartment,Corporation and Borewell,Sobha Limited,January 1995,Not Found,1875,401 sqft,1563 sqft,25.35 acres,₹95 Lacs,December 2028,Gated Security,"Vastu compliant, Visitor parking, Club house, Lift, Common garden, Rain water harvesting","15 Min Drive From Whitefield IT Parks, 30+ Worldclass Amentities, Located Close To Varthur Main Road, Project By Grade A builder"
r369336,Om Sree Brilliance,P02200002235,Not Found,Not Found,"Ahead of, Tulsi Gardens, Bus Parking, behind Indus School, near A S Rao Nagar, Bank Colony, Panchasheel Enclave, Sainikpuri, Secunderabad, Telangana 500094",Not Found,3 BHK,Bike and Car,Apartment,Borewell,Not Found,Not Found,December 2022,200,Not Found,Not Found,3.00 acres,Not Found,Not Found,Gated Security,"Swimming pool, Gym, Lift, Security, Intercom, Fire safety",Not Found
r332831,Prateek Canary,UPRERAPRJ591510,Not Found,Not Found,"Sector 150, Noida, Uttar Pradesh 201301",Not Found,"3,4 BHK",Bike and Car,Apartment,Borewell,Prateek Group,Not Found,April 2027,664,Not Found,2067 sqft,12.00 acres,Not Found,Not Found,Gated Security,"Swimming pool, Gym, Lift, Club house, Security, Intercom",Not Found
r422453,Assetz 66 and Shibui,PRM/KA/RERA/1251/446/PR/300124/006601,Not Found,Not Found,"Near Our Lady Of Lourdes Church Pattandur Agrahara,Whitefield Main Road,Whitefield, Bangalore",₹3.19 Crores - ₹4.58 Crores,"3,4 BHK",Bike and Car,Apartment,Corporation and Borewell,Assetz Property Group,January 2006,Not Found,102,1388 sqft,2023 sqft,2.00 acres,₹3.35 Cr,September 2029,Gated Security,"Cctv camera, Tennis court, Rain water harvesting, Power backup, Club house, Park","In the Heart of Whitefield, Luxury Homes | Ultra Modern Amenities, Multi-Speciality Hospitals Within 5 Mins"
r400347,Saradeuz Olympus,Not Found,Not Found,Not Found,"Perumbakkam, Chennai, Tamil Nadu, INDIA.",Not Found,Not Found,Bike,Apartment,Corporation and Borewell,Saradeuz Infrastructure Pvt.Ltd,Not Found,December 2025,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,"Lift, Children's play area, Cctv camera, Indoor games, Jogging track, Maintenance staff",Not Found
r390105,RIVERSCAPE,Not Found,Not Found,Not Found,"Velly View Enclave, Bandlaguda Jagir, Hyderabad Telangana",Not Found,"3,4 BHK",Bike and Car,Apartment,Borewell,Not Found,Not Found,March 2028,226,Not Found,Not Found,23.00 acres,₹3.38 Cr,Not Found,Gated Security,"Swimming pool, Gym, Club house, Intercom, Children's play area, Fire safety",Not Found
r437301,Sri Sai Chaitanya Sakura Blossom,PRM/KA/RERA/1251/446/PR/191024/007155,Not Found,Not Found,"Near Snowman Logistics Ltd, Bangalore-2 Warehouse, Cheemasandra, Budigere, Bangalore.",₹1.16 Crores - ₹1.72 Crores,"2,3 BHK",Bike and Car,Apartment,Corporation and Borewell,Sri Sai Chaitanya Group,Not Found,Not Found,56,783 sqft,1181 sqft,1.04 acres,₹1.22 Cr,July 2027,Gated Security,"Gym, Sewage treatment plant, Cctv camera, Visitor parking, Vastu compliant, Swimming pool","100% Vastu-Compliant Homes, Bedroom Sizes Larger Than Villas, 40+ Modern Amenities, No Common Walls"
r429359,Tulive Grandezza,TN/29/Building/0399/2024 dated 19-06-2024,Not Found,Not Found,"Daniel Thomas Matriculation Higher Secondary School, Padi Kuppam, Koyambedu, Chennai.",₹1.31 Crores - ₹3.13 Crores,"3,4+ BHK",Bike and Car,Apartment,Corporation and Borewell,Tulive GK Shetty,January 1963,Not Found,58,882 sqft,1796 sqft,1.00 acres,₹1.57 Cr,October 2025,Gated Security,"Power backup, Security, Rain water harvesting, Community hall, Cctv camera, Sewage treatment plant","400 Metres to Koyambedu Metro Station, Well Developed Residential in Koyambedu, Ultra-Luxurious of 3 BHK and 5 BHK"
r424359,Kohinoor Uptown Avenue,Not Found,A51800026821,P52100055120,"Near Zudio,Kate Vasti,Punawale,Pune",₹77.68 Lacs - ₹1.03 Crores,"2,3 BHK",Bike and Car,Apartment,Corporation and Borewell,Kohinoor Group,January 1983,Not Found,1207,723 sqft,1070 sqft,9.00 acres,₹87 Lacs,December 2029,Gated Security,"Gym, Cctv camera, Security, Common garden, Swimming pool, Indoor games","Proximity to Wakad Metro Station, Close to the National Highway, Surrounded With Greenery, Well-Maintained Infrastructure"
r407293,Primark Inspira,P02400006151,Not Found,Not Found,"Opp Miyapur Dmart, Lakshminagar Colony, Miyapur, Hyderabad",₹1.02 Crores - ₹1.89 Crores,"2,3 BHK",Bike and Car,Apartment,Borewell,Primark Projects,January 2011,Not Found,884,765 sqft,1464 sqft,6.00 acres,₹1.23 Cr,March 2029,Gated Security,"Atm, Children's play area, Fire safety, Golf course, Club house, Common garden","Modern Homes with Luxury Amenities, Close to Miyapur X Roads, Proximity To Miyapur Metro Station, Mivan Construction Apartments"
r415092,The Prestige City Hyderabad,P02400007209,Not Found,Not Found,"Near Celebration Convention, Umda Nagar, Budwel, Hyderabad",₹1.22 Crores - ₹2.77 Crores,"2,2.5,3,3.5,4 BHK",Bike and Car,Apartment,Corporation and Borewell,Prestige Group,January 1986,Not Found,4647,743 sqft,2114 sqft,31.00 acres,₹1.47 Cr,October 2028,Gated Security,"Power backup, Security, Basketball court, Party area, Aerobics room, Rain water harvesting","Modern Layout With Extra Living Space, Enjoy Cosy & Comfortable Life At Glance, Project by Reputed Builder"
r423416,Sree Urban Orchids Phase 2,PRM/KA/RERA/1251/446/PR/160523/005939,Not Found,Not Found,"Near Govt Primary School Panathur Dinne, Panathur Village, Panathur, Bangalore.",₹89.82 Lacs - ₹1.69 Crores,"2,3,4 BHK",Bike and Car,Apartment,Corporation and Borewell,Sree Builders and Developers,Not Found,Not Found,251,711 sqft,1343 sqft,3.75 acres,₹94.31 Lacs,March 2028,Gated Security,"Common garden, Party area, Indoor games, Swimming pool, Park, Power backup","50% Open Space, Luxuries Clubhouse, Near Belandur Road Railway Station"
r417023,Rohan Harita,Not Found,A51800026821,P52100052972,"Near TATA Motors Cars Showroom, Ashok Nagar, Tathawade, pune",₹74.09 Lacs - ₹1.84 Crores,"1,2,3,3.5,4 BHK",Bike and Car,Apartment,Corporation and Borewell,Rohan Builders,January 1993,Not Found,450,443 sqft,1909 sqft,8.00 acres,₹81.5 Lacs,September 2028,Gated Security,"Common garden, Party area, Indoor games, Swimming pool, Park, Power backup","Modern Layout With Extra Space, Connectivity To Bangalore Mumbai Highway, Easy Access To Everyday Needs, Surrounded With Lush and Greenery"
r403485,K PUNE PHASE 2,Not Found,A51800026821,P52100077301,"K PUNE PHASE 2,Bavdhan,Bavdhan,411021",Not Found,Not Found,Bike,Apartment,Corporation and Borewell,VMC LANDMARK REALTY LLP,Not Found,Not Found,289,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,,Not Found
r303861,Piramal Mahalaxmi,Not Found,A51800026821,P51900015854; P51900016482; P51900021057,"Near Best Bill Payment Center, Sane Guruji Marg, Mahalaxmi East, Mumbai",₹4.03 Crores - ₹12.1 Crores,"2,3,4 BHK",Bike and Car,Apartment,Corporation and Borewell,Piramal Realty,Not Found,Not Found,1000,750 sqft,1850 sqft,4.00 acres,₹4.59 Cr,December 2025,Gated Security,"Party area, Indoor games, Swimming pool, Park, Power backup, Visitor parking","Close To Eastern Express Highway, Extravagant Project By Renowned Builders, Near To Reputed Balaji Hospital, Clubhouse Lounge With 20+ Amenities"
r425244,Gajra Bhoomi Serenity,Not Found,A51800026821,P52000055280,"Near Baugban Restaurant, Sector 37, Kharghar, Mumbai.",₹1.25 Crores - ₹1.72 Crores,"2,3 BHK",Bike and Car,Apartment,Corporation and Borewell,Gajra Group,Not Found,Not Found,232,720 sqft,1020 sqft,1.00 acres,₹1.43 Cr,December 2030,Gated Security,"Visitor parking, Rain water harvesting, Common garden, Basketball court, Power backup, Tennis court","Spacious Flats with Affordable Prices, 23+ Luxuries Amenities, Just 15 Min Drive to Amandoot Station"
r414298,Vasavi Sarovar,P02200006766,Not Found,Not Found,"Near Masjid Kahf-ul-Eeman, Moosapet, Hitec City, Hyderabad",₹1.16 Crores - ₹5.26 Crores,"2,2.5,3,4,4+ BHK",Bike and Car,Apartment,Borewell,Vasavi Group,January 1994,Not Found,2250,897 sqft,4442 sqft,20.00 acres,₹1.39 Cr,August 2028,Gated Security,"Vastu compliant, Amphitheater, Maintenance staff, Lift, Air conditioner, Park","Within The Vicinity Of Hitech City, Surrounded By Major Metro Stations, Enjoy Sunset At Kamini Cheruvu Lake"
r427390,Casagrand Massimo,TN/1/Building/0362/2024,Not Found,Not Found,"Near Parimalam Cinemas, Kundrathur, Thandlam, Chennai.",₹56.7 Lacs - ₹1.41 Crores,"2,3,4 BHK",Bike and Car,Apartment,Borewell,Casagrand Builder Private Limited,January 2003,Not Found,853,639 sqft,1625 sqft,7.90 acres,₹63.51 Lacs,April 2028,Gated Security,"Salon, Vastu compliant, Visitor parking, Snooker/pool, Football, Lift","85% of Open Space, 24,000 sq ft Ultra Modern Clubhouse, 70+ Luxuries Amenities"
r432564,ASBL Landmark,P02200008770,Not Found,Not Found,"Opposite to KIA showroom Kukatpally, Moosapet, Kukatpally, Hyderabad.",₹1.69 Crores - ₹2.26 Crores,"3,3.5,4 BHK",Bike and Car,Apartment,Corporation and Borewell,ASBL,January 2019,Not Found,676,1187 sqft,1801 sqft,6.60 acres,₹2.03 Cr,August 2029,Gated Security,"Gym, Sewage treatment plant, Indoor games, Swimming pool, Park, Power backup","44,000 sft Luxurious Clubhouse, 75% Open Area, Just 4 Min to Ambedkar Metro Station"
r433250,Rohan Saroha,Not Found,A51800026821,P52100076652,"Near Hindustan Petroleum Corporation Limited, Mulshi Road, Bhugaon, Pune.",₹79.11 Lacs - ₹1.5 Crores,"2,3,4 BHK",Bike and Car,Apartment,Borewell,Rohan Builders,January 1993,Not Found,300,833 sqft,1536 sqft,5.75 acres,₹87.21 Lacs,September 2028,Gated Security,"Power backup, Basketball court, Security, Party area, Tennis court, Rain water harvesting","Landscape of Green Hills View, An Enchanting Paradise Amidst Nature, Proposed Metro Connectivity, Prime Location with Good Connectivity"
r368086,GKs Zenith,P02200002010,Not Found,Not Found,"Balaji Nagar Main Rd, Swarnandhra Colony, Sainikpuri, Secunderabad, Hyderabad, Telangana 500087",Not Found,"2,3 BHK",Bike and Car,Apartment,Borewell,GK Developers,Not Found,March 2023,147,Not Found,Not Found,2.00 acres,Not Found,Not Found,Gated Security,"Swimming pool, Gym, Lift, Club house, Security, Intercom",Not Found
r393150,GHR Callisto,P01100004554,Not Found,Not Found,"Near To Mundhra Alu Foil private Limited, Kollur, Tellapur, Hyderabad",₹80.59 Lacs - ₹1.17 Crores,"2,2.5,3,4 BHK",Bike and Car,Apartment,Borewell,GHR Infra,January 1993,Not Found,1190,753 sqft,2510 sqft,8.30 acres,₹96.71 Lacs,March 2028,Gated Security,"Wifi, Visitor parking, Vastu compliant, Lift, Rain water harvesting, Basketball court","7 mins from IBS Bus Stand, Close To Birla Open Minds Intl School, 21 mins from Poojitha Tech Park"
r6670,Ireo The Corridors,379 of 2017,Not Found,Not Found,"Tower-A6, Cluster_gurgaon 17, Ramgarh, Sector 67A, Gurugram, Haryana 122102",Not Found,"2,3,4 BHK",Bike and Car,Apartment,Borewell,Ireo Projects,Not Found,July 2020,1780,Not Found,Not Found,37.00 acres,₹1.35 Cr,Not Found,Gated Security,"Swimming pool, Gym, Lift, Club house, Security, Intercom",Not Found
r5954,Apex Golf Avenue,UPRERAPRJ8585,Not Found,Not Found,"Sector 1, Bisrakh Jalalpur, Greater Noida, Uttar Pradesh 201306",Not Found,"2.5,3,4 BHK",Bike and Car,Apartment,Borewell,Not Found,Not Found,June 2019,742,662 sqft,1608 sqft,5.00 acres,Not Found,Not Found,Gated Security,"Swimming pool, Gym, Lift, Club house, Security, Intercom",Not Found
r206111,Windsor Troika,Not Found,Not Found,Not Found,"Windsor Troika, Windsor Troika, Bangalore, India",,"2,3 BHK",Bike and Car,Apartment,Not Found,Windsor Builders and Developers,Not Found,Not Found,Not Found,1020 sqft,1306 sqft,Not Found,Not Found,Not Found,Gated Security,"Atm, Power backup, Cctv camera, Gym, Tennis court, Club house",Not Found
r390246,Candeur Crescent,P02500004515,Not Found,Not Found,"Next to Sancta Maria International School, Adarsh Nagar Lingampally, Hyderabad",₹1.4 Crores - ₹1.8 Crores,"2.5,3 BHK",Bike and Car,Apartment,Borewell,Candeur Constructions,January 2013,Not Found,1230,797 sqft,1556 sqft,5.50 acres,₹1.4 Cr,December 2027,Gated Security,"Children's play area, Visitor parking, Rain water harvesting, Vastu compliant, Lift, Park",Not Found
r425506,Casagrand Amor,PRM/KA/RERA/1251/310/PR/140324/006701,Not Found,Not Found,"Near Chrysalis High, Begur Koppa Road, Akshayanagar, Begur, Bangalore.",₹89 Lacs - ₹1.34 Crores,3 BHK,Bike and Car,Apartment,Borewell,Casagrand Builder Private Limited,January 2003,Not Found,480,959 sqft,1338 sqft,7.80 acres,₹1.18 Cr,February 2028,Gated Security,"Amphitheater, Vastu compliant, Spa/steam/sauna, Lift, Park, Community hall","Close to prominent IT/ITES, 17,500 sqft Grand Clubhouse, 80+ Lifestyle Amenities"
r384290,Godrej Park Retreat,PRM/KA/RERA/1251/446/PR/280222/004736,Not Found,Not Found,"Near RGA tech park,Carmelaram , Off Sarjapura Main Road, Hadosiddapura, Bangalore",,"1,2,3 BHK",Bike and Car,Apartment,Corporation and Borewell,Godrej Properties,January 1990,Not Found,976,420 sqft,848 sqft,13.00 acres,₹44.99 Lacs,February 2027,Gated Security,"Gym, Party area, Spa, Cctv camera, Visitor parking, Fire safety",Not Found
r433359,Shriram Codename Smash Hit,PRM/KA/RERA/1251/309/PR/170924/007026,Not Found,Not Found,"Near FESTIVA Recreations, Rajankunte, Yelahanka, Bangalore.",₹96.19 Lacs - ₹1.26 Crores,"2,2.5,3 BHK",Bike and Car,Apartment,Corporation and Borewell,Shriram Properties,January 1995,Not Found,270,771 sqft,1105 sqft,4.00 acres,₹1.01 Cr,July 2029,Gated Security,"Club house, Visitor parking, Vastu compliant, Lift, Rain water harvesting, Skating rink","80% Open Space, 40+ World Class Amenities, 360 Degree Clear Views"
r429459,Kolte Patil Springshire,Not Found,A51800026821,P52100076743,"Near Rising Star School & Junior College, Jagtapvasti, Wagholi, Pune.",₹64.28 Lacs - ₹83.92 Lacs,"2,3 BHK",Bike and Car,Apartment,Corporation and Borewell,Kolte Patil Developers,January 1991,Not Found,575,782 sqft,1028 sqft,5.00 acres,₹71.99 Lacs,March 2028,Gated Security,"Vastu compliant, Amphitheater, Lift, Park, House keeping, Community hall","Spacious Flats with Affordable Prices, Located At Main Kharadi Nagar Highway, Near Rising Star School & Junior College"
r383092,Birla Niyaara,Not Found,A51800026821,P51900031916,"Near Bastian, Worli,Pandurang Budhkar Marg,Worli,Mumbai",₹7.46 Crores - ₹10.09 Crores,"2,3,4,4+ BHK",Bike and Car,Apartment,Corporation and Borewell,Birla Estates Private Limited,January 2017,Not Found,416,854 sqft,2167 sqft,10.00 acres,₹8.5 Cr,March 2028,Gated Security,"Power backup, Cctv camera, Vastu compliant, Jogging track, Rain water harvesting, Security","Off Bandra Worli Sea Link, Close Proximity To Parel Train Station, 3 Clubhouses For Holistic Living"
r320141,Godrej Air Sector 85,RERA-GRG-PROJ-7-2018,Not Found,Not Found,"Godrej Air Sector-85, Gurgaon",,"3,3.5,4 BHK",Bike and Car,Apartment,Borewell,Godrej Properties,January 1990,Not Found,511,1372 sqft,1949 sqft,10.04 acres,₹1.65 Cr,March 2023,Gated Security,"Park, Amphitheater, Indoor games, Rain water harvesting, Tennis court, Swimming pool",Not Found
r375399,Ira Miracle,P01100002811,Not Found,Not Found,"Near Delhi Public School, Nagulapalli, Kollur, Hyderabad",₹1.06 Crores - ₹1.54 Crores,3 BHK,Bike and Car,Apartment,Corporation and Borewell,IRA Realty Tech Pvt Ltd,January 2019,Not Found,274,1241 sqft,1841 sqft,3.00 acres,₹1.06 Cr,June 2026,Gated Security,"Rain water harvesting, Visitor parking, Vastu compliant, Lift, Indoor games, Amphitheater",Not Found
r294215,Arihant Aspire,Not Found,A51800026821,P52000014107,"Near Jaywant Hotel,Palaspe Phata road, Panvel, Mumbai",₹78 Lacs - ₹84 Lacs,"1,1,2,3 BHK",Bike and Car,Apartment,Corporation and Borewell,Arihant Superstructures ltd,Not Found,Not Found,504,403 sqft,937 sqft,16.00 acres,₹85 Lacs,December 2026,Gated Security,"Visitor parking, Cctv camera, Jogging track, Common garden, Library, Gas pipeline","Close to Panvel Railway Station, Connected to Pune Expressway, Near Upcoming International Airport, Green Building Certificate 650+ Trees"
r415650,Eldeco La Vida Bella,UPRERAPRJ136219/04/2024,Not Found,Not Found,"Near HP Petrol Pump, Greater Noida west Link Road, Sector 12, Noida.",₹3.58 Crores - ₹4.29 Crores,"3,4 BHK",Bike and Car,Apartment,Not Found,Eldeco Group,January 1975,Not Found,380,1104 sqft,2079 sqft,4.00 acres,₹3.58 Cr,January 2029,Gated Security,"Vastu compliant, Amphitheater, Maintenance staff, Lift, House keeping, Community hall","Rooftop Amenities, Multi Tier Security, 30m Away Noida Special Economic Zone"
r394748,Adish Aradhra,PRM/KA/RERA/1251/308/PR/130622/004973,Not Found,Not Found,"Madivala Village Road, Chandapura, Bengaluru, Karnataka 560099",Not Found,"2,3 BHK",Bike and Car,Apartment,Borewell,Adish Properties,Not Found,January 2025,56,Not Found,Not Found,1.00 acres,Not Found,Not Found,Gated Security,"Swimming pool, Gym, Lift, Club house, Security, Intercom",Not Found
r374312,Godrej Woods,UPRERAPRJ704730 | UPRERAPRJ773536,Not Found,Not Found,"Near Anmol Nursery, Block A, Sector 43, Noida",,"2,3,4,4+ BHK",Bike and Car,Apartment,Not Found,Godrej Properties,January 1990,Not Found,Not Found,684 sqft,2629 sqft,11.00 acres,₹6.11 Cr,October 2027,Gated Security,"Gym, Amphitheater, Swimming pool, Indoor games, Power backup, Park",Not Found
r395807,Praneeth Pranav Solitaire,P02200004832,Not Found,Not Found,"Opp. Keshava Reddy School,Miyapur Road, Bachupally, Hyderabad",₹82.85 Lacs - ₹1.66 Crores,"2,2.5,3 BHK",Bike and Car,Apartment,Borewell,Praneeth Group,January 2007,Not Found,668,729 sqft,1520 sqft,7.00 acres,₹99.42 Lacs,February 2028,Gated Security,"Wifi, Visitor parking, Vastu compliant, Lift, Maintenance staff, Rain water harvesting","Located At The Heart Of Bachupally, 0.7kms to Bachupally Bus Stop, Easy Access To International Schools"
r370626,Risinia Skyon,P02200002274,Not Found,Not Found,"Near Keshava Reddy School, Bachupally main road , Bachupally , Hyderabad",₹89.25 Lacs - ₹1.57 Crores,"2,3 BHK",Bike and Car,Apartment,Borewell,Risinia Builders,January 2010,Not Found,756,794 sqft,1400 sqft,6.50 acres,₹1.07 Cr,August 2026,Gated Security,"Visitor parking, Air conditioner, Children's play area, Basketball court, Security, Club house","70% open spaces of recreation, Located Off Nehru ORR, Next To Premium Educational Institutions"
r975,NCC Urban One,Not Found,Not Found,Not Found,"NCC Urban One, Narsingi, Hyderabad, India",,"3,4 BHK",Bike and Car,Apartment,Corporation and Borewell,NCC Urban Infrastructure Limited,January 2005,Not Found,Not Found,1074 sqft,2366 sqft,32.00 acres,₹1.16 Cr,October 2021,Gated Security,"Tennis court, Park, Lift, Gym, Atm, Children's play area",Not Found
r375194,Sai Ramdas,Not Found,A51800026821,P52100028366,"Sai Ramdas,Manjari Road,Tukaram Tupe Nagar,Pune,412307",Not Found,Not Found,Bike,Apartment,Corporation and Borewell,Rahul,Not Found,Not Found,41,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Fire safety,Not Found
r389667,Godrej Ascend,Not Found,A51800026821,P51700034608 | P51700046541 | P51700049514,"Near Cambridge Montessori, Kolshet Road,Thane West,Mumbai",₹85 Lacs - ₹2.4 Crores,"1,2,3 BHK",Bike and Car,Apartment,Corporation and Borewell,Godrej Properties,January 1990,Not Found,1100,407 sqft,1010 sqft,6.50 acres,₹96 Lacs,April 2028,Gated Security,"Gas pipeline, Park, Visitor parking, Indoor games, Rain water harvesting, Fire safety","Upcoming Metro Line 4 & 5 Closeby, 2 Luxuriors Grand Clubhouses, 40+ Lifestyle Amenities, Experience The Skylife-Sky Sports Arena"
r395388,Avant Heritage,Not Found,A51800026821,"P51800029940 , P51800053527","Near Paras Nagar Jain Temple, Majas Wadi, Jogeshwari East, Mumbai",₹1.11 Crores - ₹1.84 Crores,"1,2,2.5,3 BHK",Bike and Car,Apartment,Corporation and Borewell,Avant Group,January 2010,Not Found,350,380 sqft,729 sqft,1.00 acres,₹1.26 Cr,December 2027,Gated Security,"Visitor parking, Cctv camera, Jogging track, Common garden, Library, Gas pipeline","Proximity to Jogeshwari(E) Rly Station, Close to JVLR and Western Express HWY, Affordable with Luxurious Amenties"
r391738,Sattva Aeropolis,PRM/KA/RERA/1250/303/PR/110522/004869,Not Found,Not Found,"Near Cafe Runway, Boovanahalli ,Devanahalli, Bangalore",₹60 Lacs - ₹87.14 Lacs,"1,1,2,3 BHK",Bike and Car,Apartment,Corporation and Borewell,Sattva Group,January 1993,Not Found,1001,214 sqft,675 sqft,10.00 acres,₹63 Lacs,July 2026,Gated Security,"Cctv camera, Rain water harvesting, Power backup, Club house, Gym, Party area","Close Proximity to International Airport, Trusted Grade A Builder, World Class Amenities, Great Connectivity to IT Major Hubs"
r347961,Pallavi Gardenia,P02200001144 | P02200001662 | P02200001475 | P02200001476,Not Found,Not Found,"Ajay Nagar, Nagole, Hyderabad, Telangana 500068",Not Found,"2,3 BHK",Bike and Car,Apartment,Borewell,KRUSHI BUILDTECH LLP,Not Found,May 2025,180,Not Found,Not Found,3.00 acres,Not Found,Not Found,Gated Security,"Lift, Security, Children's play area, Park, Visitor parking, Fire safety",Not Found
r393194,Sameera New Blossom,TN/02/Layout/4178/2022,Not Found,Not Found,"Near Chennai Public School, Poonamallee High Road, Thirumazhisai, Chennai.",₹32.04 Lacs - ₹69.88 Lacs,BHK,Bike and Car,Apartment,Borewell,Sameera Groups,Not Found,Not Found,160,Not Found,Not Found,6.00 acres,₹36.85 Lacs,March 2025,Gated Security,"Power backup, Security, Rain water harvesting, Badminton court, Cctv camera, Sewage treatment plant","Best Modern Amenities, Situated At A Strategic Location, Modern, Efficiently Designed Layouts"
