XID,Unit Type,Unit Size,Area Type,Price,Possession Date
R106169,3 BHK,912 sq.ft,Super Area,2.69 Cr,Possession by Dec'23
R106169,3 BHK,932 sq.ft,Super Area,2.75 Cr,Possession by Dec'23
R106169,3 BHK,1049 sq.ft,Super Area,3.10 Cr,Possession by Dec'23
R106169,3 BHK,1127 sq.ft,Super Area,3.33 Cr,Possession by Dec'23
R106169,3 BHK,1451 sq.ft,Super Area,4.28 Cr,Possession by Dec'23
R106169,4 BHK,1926 sq.ft,Super Area,5.20 Cr,Possession by Dec'23
R106169,4 BHK,2170 sq.ft,Super Area,6.41 Cr,Possession by Dec'23
R11366,3 BHK,1550 sq.ft,Super Area,5.10 Cr,Possession by Mar'24
R11366,3 BHK,1800 sq.ft,Super Area,5.25 Cr,Possession by Mar'24
R11366,3 BHK,1850 sq.ft,Super Area,6.10 Cr,Possession by Mar'24
R11366,3 BHK,2275 sq.ft,Super Area,6 Cr,Possession by Mar'24
R11366,2 BHK,1320 sq.ft,Super Area,3.30 Cr,Possession by Mar'24
R11366,2 BHK,1400 sq.ft,Super Area,3.70 Cr,Possession by Mar'24
r1148,3 BHK,2185 sq.ft,Super Area,4.13 Cr,Possession by Jan'16
r1148,3 BHK,2550 sq.ft,Super Area,4.82 Cr,Possession by Jan'16
r1148,4 BHK,2625 sq.ft,Super Area,4.96 Cr,Possession by Jan'16
r1148,4 BHK,2905 sq.ft,Super Area,5.50 Cr,Possession by Jan'16
r1148,4 BHK,3355 sq.ft,Super Area,6.35 Cr,Possession by Jan'16
r1148,4 BHK,3250 sq.ft,Super Area,6.10 Cr,Possession by Jan'16
r1148,4 BHK,4250 sq.ft,Super Area,8.50 Cr,Possession by Jan'16
r1148,4 BHK,6105 sq.ft,Super Area,12 Cr,Possession by Jan'16
r1148,5 BHK villa,8500 sq.ft,Super Area,13 Cr,Possession by Jan'16
r1148,4 BHK villa,7000 sq.ft,Super Area,11.50 Cr,Possession by Jan'16
r1191,3 BHK,1768 sq.ft,Super Area,3.41 Cr,Possession by Feb'17
r1191,3 BHK,2019 sq.ft,Super Area,3.89 Cr,Possession by Feb'17
