XID,Project Name,City,Magicbricks.com Link
R101061,Safal Glade One,Ahmedabad West,https://www.magicbricks.com/glade-one-sanand-ahmedabad-pdpid-4d4235303430383936
R10166,Arihant Anmol,Thane Outskirts,https://www.magicbricks.com/arihant-anmol-badlapur-east-beyond-thane-pdpid-4d4235303233363532
R106169,Eternia by Oberoi Realty,Central Mumbai,https://www.magicbricks.com/oberoi-eternia-and-enigma-mulund-west-mumbai-pdpid-4d4235303734303337
R10986,Hiranandani Verona CHS,Central Mumbai,https://www.magicbricks.com/hiranandani-verona-co-op-housing-society-ltd-powai-mumbai-pdpid-4d4235303337393033
R11008,Hiranandani Glen Dale Apartment,Central Mumbai,https://www.magicbricks.com/project-hiranandani-glen-dale-apartment-for-sale-in-mumbai-pppfs
R1128,Kalpataru Crest,Central Mumbai,https://www.magicbricks.com/project-kalpataru-crest-for-rent-in-mumbai-pppfr
R11354,Palm Avenue,Kolkata South,https://www.magicbricks.com/property-for-sale-in-palm-avenue-kolkata-pppfs
R11366,L and T Crescent Bay,Mumbai South,https://www.magicbricks.com/l&t-crescent-bay-parel-mumbai-pdpid-4d4235303231303431
r1148,Tata Primanti,Gurgaon,https://www.magicbricks.com/tata-primanti-sector-72-gurgaon-pdpid-4d4235303030313431
R11656,Unitech Gardens,Kolkata East,https://www.magicbricks.com/project-unitech-garden-for-sale-in-kolkata-pppfs
R1170,Lodha Fiorenza,Western Mumbai,https://www.magicbricks.com/project-lodha-fiorenza-for-sale-in-mumbai-pppfs
r1191,M3M Merlin,Gurgaon,https://www.magicbricks.com/m3m-merlin-sector-67-gurgaon-pdpid-4d4235303230373934
R119707,Bengal Peerless Avidipta Phase 2,Kolkata South,https://www.magicbricks.com/project-bengal-peerless-avidipta-phase-2-for-sale-in-kolkata-pppfs
r12072,La Lagune,Gurgaon,https://www.magicbricks.com/project-la-lagune-gurgaon-4bhk-for-sale-in-gurgaon-pppfs
R12166,Spaze Privy,Gurgaon,https://www.magicbricks.com/project-spaze-privy-72-for-sale-in-gurgaon-pppfs
R12202,Tharwani Rosewood Heights,Navi Mumbai,https://www.magicbricks.com/rosewood-heights-kharghar-navi-mumbai-pdpid-4d4235303237313034
