XID,Unit Type,Unit Size,Area Type,Price,Possession Date
R429474,Residential plot,1026 sq.ft,Super Area,85.5 Lac,Possession by Oct'24
R429474,Residential plot,1084 sq.ft,Super Area,90.3 Lac,Possession by Oct'24
R429474,Residential plot,1169 sq.ft,Super Area,97.4 Lac,Possession by Oct'24
R429474,Residential plot,1178 sq.ft,Super Area,98.2 Lac,Possession by Oct'24
R429474,Residential plot,1222 sq.ft,Super Area,1.01 Cr,Possession by Oct'24
R429474,Residential plot,1255 sq.ft,Super Area,1.04 Cr,Possession by Oct'24
R429474,Residential plot,1269 sq.ft,Super Area,1.05 Cr,Possession by Oct'24
R429474,Residential plot,1336 sq.ft,Super Area,1.11 Cr,Possession by Oct'24
R429474,Residential plot,1369 sq.ft,Super Area,1.14 Cr,Possession by Oct'24
R429474,Residential plot,1416 sq.ft,Super Area,1.17 Cr,Possession by Oct'24
R429474,Residential plot,1459 sq.ft,Super Area,1.21 Cr,Possession by Oct'24
R429474,Residential plot,1460 sq.ft,Super Area,1.21 Cr,Possession by Oct'24
R429474,Residential plot,1542 sq.ft,Super Area,1.28 Cr,Possession by Oct'24
R429474,Residential plot,1755 sq.ft,Super Area,1.46 Cr,Possession by Oct'24
R429474,Residential plot,1850 sq.ft,Super Area,1.54 Cr,Possession by Oct'24
R429474,Residential plot,2070 sq.ft,Super Area,1.72 Cr,Possession by Oct'24
R429474,Residential plot,2152 sq.ft,Super Area,1.79 Cr,Possession by Oct'24
R429474,Residential plot,2165 sq.ft,Super Area,1.80 Cr,Possession by Oct'24
R429474,Residential plot,2314 sq.ft,Super Area,1.92 Cr,Possession by Oct'24
R429474,Residential plot,2567 sq.ft,Super Area,2.13 Cr,Possession by Oct'24
R354918,3 BHK,1649 sq.ft,Super Area,98.6 Lac,Possession by Mar'24
R354918,3 BHK,1720 sq.ft,Super Area,1.02 Cr,Possession by Mar'24
R354918,3 BHK,1809 sq.ft,Super Area,1.08 Cr,Possession by Mar'24
R354918,2 BHK,1439 sq.ft,Super Area,86.1 Lac,Possession by Mar'24
R390105,3 BHK villa,3915 sq.ft,Super Area,5.89 Cr,Possession by Mar'28
R390105,4 BHK villa,3400 sq.ft,Super Area,5.14 Cr,Possession by Mar'28
R390105,4 BHK villa,4850 sq.ft,Super Area,7.27 Cr,Possession by Mar'28
R420301,3 BHK,3440 sq.ft,Super Area,8.69 Cr,Possession by Oct'28
R420301,3 BHK,3685 sq.ft,Super Area,9.31 Cr,Possession by Oct'28
R420301,4 BHK,4246 sq.ft,Super Area,10.73 Cr,Possession by Oct'28
R421070,3 BHK,1421 sq.ft,Super Area,89.5 Lac,Possession by Aug'24
R421070,3 BHK,1446 sq.ft,Super Area,91.1 Lac,Possession by Aug'24
R421070,3 BHK,1453 sq.ft,Super Area,91.5 Lac,Possession by Aug'24
R421070,3 BHK,1471 sq.ft,Super Area,92.7 Lac,Possession by Aug'24
R421070,2 BHK,1057 sq.ft,Super Area,66.6 Lac,Possession by Aug'24
R421070,2 BHK,1060 sq.ft,Super Area,66.8 Lac,Possession by Aug'24
R421070,2 BHK,1068 sq.ft,Super Area,67.3 Lac,Possession by Aug'24
R421070,2 BHK,1075 sq.ft,Super Area,67.7 Lac,Possession by Aug'24
R421070,2 BHK,1090 sq.ft,Super Area,68.7 Lac,Possession by Aug'24
R421070,2 BHK,1100 sq.ft,Super Area,69.3 Lac,Possession by Aug'24
R416951,3 BHK,1310 sq.ft,Super Area,61.6 Lac,Possession by Dec'24
R416951,3 BHK,1372 sq.ft,Super Area,64.5 Lac,Possession by Dec'24
R416951,2 BHK,991 sq.ft,Super Area,46.6 Lac,Possession by Dec'24
R416951,2 BHK,1101 sq.ft,Super Area,51.7 Lac,Possession by Dec'24
R334919,3 BHK,1850 sq.ft,Super Area,2.62 Cr,Possession by Dec'23
R334919,3 BHK,1895 sq.ft,Super Area,2.69 Cr,Possession by Dec'23
R334919,2 BHK,1225 sq.ft,Super Area,1.71 Cr,Possession by Dec'23
R372188,Residential plot,600 sq.ft,Super Area,9.5 Lac,Possession by Aug'23
R372188,Residential plot,900 sq.ft,Super Area,14.3 Lac,Possession by Aug'23
R372188,Residential plot,1200 sq.ft,Super Area,19.1 Lac,Possession by Aug'23
R372188,Residential plot,1500 sq.ft,Super Area,23.9 Lac,Possession by Aug'23
R372188,Residential plot,1900 sq.ft,Super Area,30.2 Lac,Possession by Aug'23
R372188,Residential plot,2400 sq.ft,Super Area,38.2 Lac,Possession by Aug'23
R374451,2 BHK,1296 sq.ft,Super Area,89.1 Lac,Possession by Nov'25
R374451,2 BHK,1319 sq.ft,Super Area,90.7 Lac,Possession by Nov'25
R374451,2 BHK,1365 sq.ft,Super Area,93.8 Lac,Possession by Nov'25
R368086,3 BHK,1460 sq.ft,Super Area,86.6 Lac,Possession by Mar'23
R368086,3 BHK,1585 sq.ft,Super Area,94 Lac,Possession by Mar'23
R368086,2 BHK,1180 sq.ft,Super Area,70 Lac,Possession by Mar'23
R368086,2 BHK,1200 sq.ft,Super Area,71.2 Lac,Possession by Mar'23
R368086,2 BHK,1220 sq.ft,Super Area,72.4 Lac,Possession by Mar'23
R416320,2 BHK,1225 sq.ft,Super Area,70 Lac,Possession by Dec'24
R416320,2 BHK,1250 sq.ft,Super Area,72.7 Lac,Possession by Dec'24
R416320,2 BHK,1275 sq.ft,Super Area,65 Lac,Possession by Dec'24
R293775,3 BHK,1580 sq.ft,Super Area,1.73 Cr,Possession by Feb'21
R293775,3 BHK,1640 sq.ft,Super Area,1.79 Cr,Possession by Feb'21
R293775,3 BHK,1685 sq.ft,Super Area,1.84 Cr,Possession by Feb'21
R293775,3 BHK,1770 sq.ft,Super Area,1.93 Cr,Possession by Feb'21
R293775,3 BHK,1780 sq.ft,Super Area,1.94 Cr,Possession by Feb'21
R293775,3 BHK,1785 sq.ft,Super Area,1.94 Cr,Possession by Feb'21
R293775,3 BHK,1815 sq.ft,Super Area,1.98 Cr,Possession by Feb'21
R293775,2 BHK,1460 sq.ft,Super Area,1.60 Cr,Possession by Feb'21
R293775,2 BHK,1470 sq.ft,Super Area,1.61 Cr,Possession by Feb'21
R293775,2 BHK,1570 sq.ft,Super Area,1.72 Cr,Possession by Feb'21
R293775,4 BHK,1885 sq.ft,Super Area,2.05 Cr,Possession by Feb'21
R430089,3 BHK,1583 sq.ft,Super Area,1.12 Cr,Possession by Oct'24
R430089,3 BHK,1601 sq.ft,Super Area,1.13 Cr,Possession by Oct'24
R430089,3 BHK,1606 sq.ft,Super Area,1.14 Cr,Possession by Oct'24
R430089,3 BHK,1717 sq.ft,Super Area,1.21 Cr,Possession by Oct'24
R430089,3 BHK,1767 sq.ft,Super Area,1.25 Cr,Possession by Oct'24
R430089,4 BHK,2090 sq.ft,Super Area,1.48 Cr,Possession by Oct'24
R430089,4 BHK,2160 sq.ft,Super Area,1.53 Cr,Possession by Oct'24
R411745,3 BHK,1968 sq.ft,Super Area,1.37 Cr,Possession by Dec'26
R411745,2 BHK,1190 sq.ft,Super Area,83.3 Lac,Possession by Dec'26
R411745,2 BHK,1474 sq.ft,Super Area,1.03 Cr,Possession by Dec'26
R382676,Residential plot,435 sq.ft,Super Area,5.6 Lac,Possession by Apr'25
R382676,Residential plot,650 sq.ft,Super Area,8.4 Lac,Possession by Apr'25
R382676,Residential plot,705 sq.ft,Super Area,9.1 Lac,Possession by Apr'25
R382676,Residential plot,1200 sq.ft,Super Area,15.5 Lac,Possession by Apr'25
R382676,Residential plot,1500 sq.ft,Super Area,19 Lac,Possession by Apr'25
R382676,Residential plot,2400 sq.ft,Super Area,31 Lac,Possession by Apr'25
R382676,2 BHK,1410 sq.ft,Super Area,53.9 Lac,Possession by Apr'25
R420711,3 BHK,1046 sq.ft,Super Area,45 Lac,Possession by Dec'26
R420711,3 BHK,1261 sq.ft,Super Area,54.2 Lac,Possession by Dec'26
R420711,2 BHK,833 sq.ft,Super Area,35.8 Lac,Possession by Dec'26
R420711,2 BHK,930 sq.ft,Super Area,40 Lac,Possession by Dec'26
R420711,2 BHK,1079 sq.ft,Super Area,46.4 Lac,Possession by Dec'26
R389749,3 BHK,1439 sq.ft,Super Area,70.5 Lac,Possession by Jun'26
R389749,3 BHK,1466 sq.ft,Super Area,71.8 Lac,Possession by Jun'26
R389749,2 BHK,990 sq.ft,Super Area,48.5 Lac,Possession by Jun'26
R389749,2 BHK,1096 sq.ft,Super Area,53.8 Lac,Possession by Jun'26
R389749,2 BHK,1118 sq.ft,Super Area,54.8 Lac,Possession by Jun'26
R389749,2 BHK,1172 sq.ft,Super Area,57.4 Lac,Possession by Jun'26
R296889,Residential plot,429 sq.ft,Super Area,5.2 Lac,Possession by Dec'20
R296889,Residential plot,640 sq.ft,Super Area,7.7 Lac,Possession by Dec'20
R296889,Residential plot,900 sq.ft,Super Area,10.8 Lac,Possession by Dec'20
R296889,Residential plot,1100 sq.ft,Super Area,13.2 Lac,Possession by Dec'20
R296889,Residential plot,1125 sq.ft,Super Area,13.5 Lac,Possession by Dec'20
R296889,Residential plot,1200 sq.ft,Super Area,14.4 Lac,Possession by Dec'20
R296889,Residential plot,1500 sq.ft,Super Area,18 Lac,Possession by Dec'20
R384098,3 BHK,1550 sq.ft,Super Area,73 Lac,Possession by Jun'24
R384098,3 BHK,1620 sq.ft,Super Area,76 Lac,Possession by Jun'24
R384098,3 BHK,1800 sq.ft,Super Area,72 Lac,Possession by Jun'24
R384098,3 BHK,1885 sq.ft,Super Area,68.5 Lac,Possession by Jun'24
R384098,3 BHK,1950 sq.ft,Super Area,69 Lac,Possession by Jun'24
R302349,3 BHK,1575 sq.ft,Super Area,1.71 Cr,Possession by Nov'23
R302349,3 BHK,1635 sq.ft,Super Area,1.77 Cr,Possession by Nov'23
R302349,3 BHK,1675 sq.ft,Super Area,1.81 Cr,Possession by Nov'23
R302349,3 BHK,1765 sq.ft,Super Area,1.91 Cr,Possession by Nov'23
R302349,3 BHK,1770 sq.ft,Super Area,1.91 Cr,Possession by Nov'23
R302349,2 BHK,1455 sq.ft,Super Area,1.58 Cr,Possession by Nov'23
R418404,3 BHK,1335 sq.ft,Super Area,87.1 Lac,Possession by Jan'25
R418404,3 BHK,1370 sq.ft,Super Area,89.2 Lac,Possession by Jan'25
R418404,3 BHK,1485 sq.ft,Super Area,96 Lac,Possession by Jan'25
R418404,3 BHK,1500 sq.ft,Super Area,96.9 Lac,Possession by Jan'25
R419026,3 BHK,1895 sq.ft,Super Area,1.23 Cr,Possession by May'29
R419026,3 BHK,1925 sq.ft,Super Area,1.25 Cr,Possession by May'29
R419026,4 BHK,2475 sq.ft,Super Area,1.60 Cr,Possession by May'29
R419026,4 BHK,2575 sq.ft,Super Area,1.67 Cr,Possession by May'29
R437329,3 BHK,1673 sq.ft,Super Area,78 Lac,Possession by Jun'27
R437329,3 BHK,2059 sq.ft,Super Area,95 Lac,Possession by Jun'27
R437329,2 BHK,1052 sq.ft,Super Area,44.2 Lac,Possession by Jun'27
R437329,2 BHK,1053 sq.ft,Super Area,51 Lac,Possession by Jun'27
R437329,2 BHK,1221 sq.ft,Super Area,59 Lac,Possession by Jun'27
R427921,3 BHK,1667 sq.ft,Super Area,1.20 Cr,Possession by Jun'14
R427921,3 BHK,1945 sq.ft,Super Area,1.35 Cr,Possession by Jun'14
R427921,2 BHK,1092 sq.ft,Super Area,96 Lac,Possession by Jun'14
R427921,2 BHK,1118 sq.ft,Super Area,97 Lac,Possession by Jun'14
R297161,3 BHK,1655 sq.ft,Super Area,1.14 Cr,Possession by Dec'21
R297161,3 BHK villa,1044 sq.ft,Super Area,1.69 Cr,Possession by Dec'21
R297161,3 BHK villa,1350 sq.ft,Super Area,1.99 Cr,Possession by Dec'21
R425507,3 BHK,1380 sq.ft,Super Area,95.2 Lac,Possession by Feb'29
R425507,3 BHK,1472 sq.ft,Super Area,1.01 Cr,Possession by Feb'29
R425507,3 BHK,1635 sq.ft,Super Area,1.16 Cr,Possession by Feb'29
R425507,3 BHK,1823 sq.ft,Super Area,1.29 Cr,Possession by Feb'29
R425507,2 BHK,1217 sq.ft,Super Area,79.1 Lac,Possession by Feb'29
R425507,2 BHK,1222 sq.ft,Super Area,81.9 Lac,Possession by Feb'29
R425507,2 BHK,1254 sq.ft,Super Area,84 Lac,Possession by Feb'29
R337671,3 BHK,1400 sq.ft,Super Area,1.19 Cr,Possession by May'23
R337671,3 BHK,1625 sq.ft,Super Area,1.38 Cr,Possession by May'23
R337671,3 BHK,1770 sq.ft,Super Area,1.51 Cr,Possession by May'23
R337671,3 BHK,1800 sq.ft,Super Area,1.53 Cr,Possession by May'23
R337671,3 BHK,1895 sq.ft,Super Area,1.62 Cr,Possession by May'23
R337671,3 BHK,1965 sq.ft,Super Area,1.67 Cr,Possession by May'23
R337671,3 BHK,2000 sq.ft,Super Area,1.70 Cr,Possession by May'23
R337671,3 BHK,2200 sq.ft,Super Area,1.88 Cr,Possession by May'23
R337671,3 BHK,2300 sq.ft,Super Area,1.96 Cr,Possession by May'23
R337671,3 BHK,2390 sq.ft,Super Area,2.04 Cr,Possession by May'23
R419028,3 BHK,1740 sq.ft,Super Area,95.7 Lac,Possession by Dec'25
R419028,3 BHK,1885 sq.ft,Super Area,1.03 Cr,Possession by Dec'25
R419028,2 BHK,1135 sq.ft,Super Area,62.4 Lac,Possession by Dec'25
R419028,2 BHK,1445 sq.ft,Super Area,79.5 Lac,Possession by Dec'25
R403616,3 BHK,1237 sq.ft,Super Area,68 Lac,Possession by Jul'26
R403616,3 BHK,1397 sq.ft,Super Area,76.8 Lac,Possession by Jul'26
R403616,3 BHK,1425 sq.ft,Super Area,80 Lac,Possession by Jul'26
R403616,3 BHK,1578 sq.ft,Super Area,86.8 Lac,Possession by Jul'26
R403616,2 BHK,1083 sq.ft,Super Area,61 Lac,Possession by Jul'26
R403616,2 BHK,1129 sq.ft,Super Area,63 Lac,Possession by Jul'26
R417989,3 BHK,1305 sq.ft,Super Area,54 Lac,Possession by Dec'28
R417989,3 BHK,1422 sq.ft,Super Area,59 Lac,Possession by Dec'28
R417989,2 BHK,1019 sq.ft,Super Area,42 Lac,Possession by Dec'28
R417989,2 BHK,1045 sq.ft,Super Area,45 Lac,Possession by Dec'28
R227169,2 BHK,1263 sq.ft,Super Area,1.31 Cr,Possession by Feb'27
R227169,2 BHK,1299 sq.ft,Super Area,1.35 Cr,Possession by Feb'27
R227169,2 BHK,1527 sq.ft,Super Area,1.59 Cr,Possession by Feb'27
R426545,3 BHK,1484 sq.ft,Super Area,72 Lac,Possession by Feb'27
R426545,3 BHK,1497 sq.ft,Super Area,73 Lac,Possession by Feb'27
R426545,3 BHK,1499 sq.ft,Super Area,75 Lac,Possession by Feb'27
R426545,3 BHK,1540 sq.ft,Super Area,75 Lac,Possession by Feb'27
R426545,3 BHK,1545 sq.ft,Super Area,75 Lac,Possession by Feb'27
R426545,2 BHK,984 sq.ft,Super Area,52 Lac,Possession by Feb'27
R422115,3 BHK,1450 sq.ft,Super Area,92.8 Lac,Possession by Sep'28
R422115,3 BHK,1525 sq.ft,Super Area,97.6 Lac,Possession by Sep'28
R422115,3 BHK,1785 sq.ft,Super Area,1.14 Cr,Possession by Sep'28
R422115,3 BHK,1790 sq.ft,Super Area,1.14 Cr,Possession by Sep'28
R422115,3 BHK,1870 sq.ft,Super Area,1.19 Cr,Possession by Sep'28
R422115,3 BHK,1880 sq.ft,Super Area,1.20 Cr,Possession by Sep'28
R422115,3 BHK,1925 sq.ft,Super Area,1.23 Cr,Possession by Sep'28
R422115,3 BHK,2310 sq.ft,Super Area,1.47 Cr,Possession by Sep'28
R422115,3 BHK,2530 sq.ft,Super Area,1.61 Cr,Possession by Sep'28
R381526,3 BHK,1332 sq.ft,Super Area,70 Lac,Possession by Oct'28
R381526,3 BHK,1437 sq.ft,Super Area,75.6 Lac,Possession by Oct'28
R381526,3 BHK,1517 sq.ft,Super Area,79.8 Lac,Possession by Oct'28
R381526,3 BHK,1667 sq.ft,Super Area,87.7 Lac,Possession by Oct'28
R381526,2 BHK,873 sq.ft,Super Area,45.9 Lac,Possession by Oct'28
R381526,2 BHK,978 sq.ft,Super Area,51.4 Lac,Possession by Oct'28
R381526,1 BHK,572 sq.ft,Super Area,30.1 Lac,Possession by Oct'28
R381526,1 BHK,699 sq.ft,Super Area,36.8 Lac,Possession by Oct'28
R429830,3 BHK,1380 sq.ft,Super Area,90.1 Lac,Possession by Jul'25
R429830,3 BHK,1390 sq.ft,Super Area,90.7 Lac,Possession by Jul'25
R429830,3 BHK,1410 sq.ft,Super Area,91.8 Lac,Possession by Jul'25
R429830,3 BHK,1430 sq.ft,Super Area,93 Lac,Possession by Jul'25
R429830,3 BHK,1440 sq.ft,Super Area,93.6 Lac,Possession by Jul'25
R429830,3 BHK,1445 sq.ft,Super Area,97 Lac,Possession by Jul'25
R429830,2 BHK,1075 sq.ft,Super Area,72 Lac,Possession by Jul'25
R429830,2 BHK,1105 sq.ft,Super Area,71.9 Lac,Possession by Jul'25
R429830,2 BHK,1120 sq.ft,Super Area,73.8 Lac,Possession by Jul'25
R429830,2 BHK,1160 sq.ft,Super Area,76.2 Lac,Possession by Jul'25
R426929,3 BHK,1640 sq.ft,Super Area,1.47 Cr,Possession by Dec'26
R426929,2 BHK,1280 sq.ft,Super Area,1.14 Cr,Possession by Dec'26
R426929,2 BHK,1310 sq.ft,Super Area,1.17 Cr,Possession by Dec'26
R426929,2 BHK,1350 sq.ft,Super Area,1.21 Cr,Possession by Dec'26
