XID,Project Name,City,Magicbricks.com Link
R409908,Cinco Fairland,Coimbatore,https://www.magicbricks.com/project-plots-greenfield-fairland-for-sale-in-coimbatore-pppfs
R398124,Mount Alaya Belmonte,Ahmedabad North,https://www.magicbricks.com/3-bhk-flats-in-chharodi-ahmedabad-for-sale-pppfs
R429474,RLD Merlion Estate,Chennai West,https://www.magicbricks.com/rld-merlion-estate-vanagaram-chennai-pdpid-4d4235343233373833
R393335,Sri Balajis Saphire,Chennai West,https://www.magicbricks.com/
R2,Omaxe Twin Towers,Noida,https://www.magicbricks.com/project-omaxe-twin-tower-for-rent-in-noida-pppfr
R294633,Codename Skywards,Thane Outskirts,https://www.magicbricks.com/jp-codename-skywards-ambernath-east-beyond-thane-pdpid-4d4235333333383335
R398606,SB Centrum,Bhilai,https://www.magicbricks.com/property-for-sale-in-bhilai-charoda-bhilai-pppfs
R383703,River Breeze,Hyderabad,https://www.magicbricks.com/pooja-magic-breeze-narsingi-hyderabad-pdpid-4d4235313237343839
R394292,Ashwamedh Ratnaprabha,Pune Central,Not Found
R429438,Rose Hills Estate,Srinagar,https://www.magicbricks.com/1-bhk-independent-house-for-rent-in-kumbalgodu-bangalore-pppfr
R369336,Om Sree Brilliance,Secunderabad,https://www.magicbricks.com/om-sree-brilliance-as-rao-nagar-hyderabad-pdpid-4d4235313838353232
R375899,Raama Skyz,Vadodara,https://www.magicbricks.com/raama-skyz-sama-vadodara-pdpid-4d4235323330323437
R392193,Kohinoor Abhimaan Homes Phase 3,Pune North,https://www.magicbricks.com/kohinoor-abhimaan-homes-shirgaon-pune-pdpid-4d4235303936343837
R430319,Prosperity Homes,Lucknow,https://www.magicbricks.com/3-bhk-independent-house-for-sale-in-lucknow-pppfs/page-3
R428449,Sun Siri The Capital,Guntur,https://www.magicbricks.com/residential-plots-land-for-sale-in-tadikonda-guntur-pppfs
R409549,Protech Pride,Guwahati,https://www.magicbricks.com/protech-pride-bagharbari-guwahati-pdpid-4d4235343139343731
R333859,Lord Krishna Floors,Faridabad,https://www.magicbricks.com/4-bhk-builder-floor-for-sale-in-greenfield-colony-faridabad-pppfs
R354918,Super Homes Abhirama,Hyderabad,https://www.magicbricks.com/super-homes-abhirama-lb-nagar-hyderabad-pdpid-4d4235323135303435
R430176,Elegance Pristine,Bangalore South,https://www.magicbricks.com/elegant-pristine-hrbr-layout-bangalore-pdpid-4d4235303330373637
R390105,Riverscape,Hyderabad,https://www.magicbricks.com/urrban-riverscape-bandlaguda-jagir-hyderabad-pdpid-4d4235333333313931
R401868,Nirvanaa Casa Vrindavan,Kanpur,https://www.magicbricks.com/anand-sagar-enclave-vrindavan-yojana-lucknow-pdpid-4d4235303939363835
R322869,Anantnath And Forever City,Thane Outskirts,https://www.magicbricks.com/and-forever-city-diva-thane-pdpid-4d4235303932383238
R329969,Swargaseema Sirulaseema I,Hyderabad,https://www.magicbricks.com/project-plots-swargaseema-sirula-seema-i-for-sale-in-hyderabad-pppfs
R390243,KCB Solace,Kolkata East,https://www.magicbricks.com/project-kcb-solace-for-rent-in-kolkata-pppfr
R421695,Sunniva Legacy,Kolkata South,https://www.magicbricks.com/sonapur-housing-complex-gariahat-kolkata-pdpid-4d4235313936333239
R380138,Sri Sai Home Ujaan Nagar,Kolkata East,https://www.magicbricks.com/ujaan-nagar-new-town-kolkata-pdpid-4d4235323833353639
R423416,Sree Urban Orchids Phase 2,Bangalore East,https://www.magicbricks.com/sree-urban-orchids-phase-ii-panathur-bangalore-pdpid-4d4235343136333239
R420301,Tarc Kailasa,West Delhi,https://www.magicbricks.com/tarc-kailasa-kirti-nagar-new-delhi-pdpid-4d4235343138333139
R7754,Pyramid Arlington County,Chennai West,https://www.magicbricks.com/arlington-county-poonamallee-chennai-pdpid-4d4235303730383834
R421070,Ayyan Aathmika,Chennai South,https://www.magicbricks.com/ayyan-aathmika-medavakkam-chennai-pdpid-4d4235343231353831
R396842,Orchid IVY Floors,Gurgaon,https://www.magicbricks.com/orchid-ivy-sector-51-gurgaon-pdpid-4d4235333335383833
R434288,KCP Garden Karamadai,Coimbatore,https://www.magicbricks.com/independent-house-for-sale-in-veerapandi-pirivu-coimbatore-price-40-lakhs-to-50-lakhs-pppfs
R416951,Roongta Florenza,Nashik,https://www.magicbricks.com/roongta-florenza-apartment-govind-nagar-nashik-pdpid-4d4235343137353031
R334919,GP Aditya,Bangalore South,https://www.magicbricks.com/gp-aditya-koramangala-bangalore-pdpid-4d4235313238333531
R427843,Kedia Shri Vatsal,Jaipur,https://www.magicbricks.com/kedia-shri-vatsal-sikar-road-jaipur-pdpid-4d4235343232363537
R2966,ALTA,Chennai South,https://www.magicbricks.com/project-catalyst-alta-for-sale-in-chennai-pppfs
R431642,Siddhik Green Abalone,Ahmedabad West,Not Found
R265661,Aishwaryam Courtyard Gold,Pune North,Not Found
R349185,Panchnai Paramjyoti,Siliguri,https://www.magicbricks.com/panchnai-paramjyoti-apartment-champasari-siliguri-pdpid-4d4235313432393835
R372188,Kanchi Big Town,Kanchipuram,https://www.magicbricks.com/sameera-kanchi-big-town-kanchipuram-chennai-pdpid-4d4235323931303335
R374451,Anuhar Towers,Hyderabad,https://www.magicbricks.com/anuhar-towers-alkapur-township-hyderabad-pdpid-4d4235323432393633
R418960,GTK Eden Garden,Chennai South,https://www.magicbricks.com/evocon-eden-garden-tambaram-chennai-pdpid-4d4235303330303338
R368086,GKs Zenith,Secunderabad,https://www.magicbricks.com/gks-zenith-yapral-hyderabad-pdpid-4d4235313930383835
R423721,RSR The Garden View Villa,Hyderabad,https://www.magicbricks.com/the-garden-view-velimela-hyderabad-pdpid-4d4235333531373733
R387200,The Solitaire Crown,Dehradun,https://www.magicbricks.com/solitaire-crown-general-mahadev-singh-road-dehradun-pdpid-4d4235343233353633
R420320,VR Vivanta,Vadodara,https://www.magicbricks.com/blog/spencer-plaza/130021.html
